"topic","term","beta"
28,"follow",0.00024499940932253
29,"follow",0.000182654946288702
30,"follow",0.00014206833813785
1,"growth",3.96770430871206e-05
2,"growth",0.00173221175942843
3,"growth",1.70439341742745e-05
4,"growth",0.00436279978698897
5,"growth",0.0126957833587058
6,"growth",0.00139375697433384
7,"growth",8.61759583948651e-05
8,"growth",0.0202357497871426
9,"growth",1.74748569131252e-07
10,"growth",0.00398882331833247
11,"growth",0.00131777387980392
12,"growth",7.76211016871935e-12
13,"growth",1.38861298433947e-14
14,"growth",0.000792996545064502
15,"growth",0.00998253276193494
16,"growth",6.88214677765716e-05
17,"growth",6.90193127532974e-08
18,"growth",6.21967095132865e-07
19,"growth",0.00404613086227465
20,"growth",0.00605087732295861
21,"growth",5.02522261990099e-08
22,"growth",0.00864353742273857
23,"growth",7.04442909780591e-07
24,"growth",3.99849398071867e-09
25,"growth",0.00619969107832088
26,"growth",6.62124649755366e-06
27,"growth",0.00611304112180227
28,"growth",4.09779995784277e-12
29,"growth",0.0230272759328537
30,"growth",0.00654799928429001
1,"implement",1.64929604698973e-12
2,"implement",4.30008106838875e-20
3,"implement",1.75977609498618e-08
4,"implement",1.39349086278403e-12
5,"implement",1.62550550298897e-20
6,"implement",1.1479904333402e-05
7,"implement",3.12260235956114e-09
8,"implement",4.37040180396292e-09
9,"implement",4.92303419701613e-12
10,"implement",9.88799315086297e-07
11,"implement",3.8927989360955e-13
12,"implement",4.55217550344989e-16
13,"implement",1.08888919014491e-17
14,"implement",2.77846440135373e-11
15,"implement",2.43074472406017e-11
16,"implement",0.000290548353566999
17,"implement",0.000371720272836383
18,"implement",3.42541325187223e-05
19,"implement",0.000276944245932024
20,"implement",6.5394731022015e-09
21,"implement",4.49621725411873e-05
22,"implement",0.00387299361816559
23,"implement",4.65580520763318e-21
24,"implement",1.92873329942899e-08
25,"implement",0.000165784267216022
26,"implement",2.87959714065409e-06
27,"implement",6.03191621994689e-13
28,"implement",0.000222428646680281
29,"implement",0.000684689056875288
30,"implement",3.53015789758097e-08
1,"inform",0.000599047861919291
2,"inform",9.29018623043321e-08
3,"inform",0.000640000377903288
4,"inform",0.00168603332695734
5,"inform",0.00344518488300103
6,"inform",0.000257716758467262
7,"inform",1.99091489241972e-06
8,"inform",3.86641526972488e-10
9,"inform",1.42866346118457e-05
10,"inform",0.000236485072052059
11,"inform",0.00228859814051823
12,"inform",2.3667828162555e-05
13,"inform",0.000345966355547319
14,"inform",2.94433664798316e-06
15,"inform",0.00662327334536989
16,"inform",5.53742937618161e-07
17,"inform",0.00426463777341184
18,"inform",0.000453223380244032
19,"inform",4.11944488453577e-10
20,"inform",5.73132148661135e-06
21,"inform",3.35400003211907e-10
22,"inform",0.00369378221568604
23,"inform",2.57005922086477e-05
24,"inform",0.00123837841709312
25,"inform",5.89625831920514e-14
26,"inform",1.09786820372546e-07
27,"inform",3.94450838565111e-11
28,"inform",0.000296781833399645
29,"inform",0.000284007380664197
30,"inform",1.13696604488441e-05
