"topic","term","beta"
22,"debt",0.0366836990957052
23,"debt",0.0103257363714217
24,"debt",2.85064907854194e-07
25,"debt",2.85158389801824e-07
26,"debt",1.87335273752099e-07
27,"debt",2.12083994593555e-07
28,"debt",2.99729374347901e-07
29,"debt",0.00543921816547922
30,"debt",2.85349608914093e-07
31,"debt",1.54424819280495e-07
32,"debt",0.0193926074601904
33,"debt",2.8333243139176e-07
34,"debt",2.26335338890771e-07
35,"debt",2.67275127403371e-07
36,"debt",1.01852049712587e-05
37,"debt",2.50540980612388e-07
38,"debt",2.57783581918338e-07
39,"debt",2.47674767365283e-07
40,"debt",2.93482085706748e-07
1,"direct",0.000146928691456204
2,"direct",0.000822882297699732
3,"direct",0.0199132468802478
4,"direct",2.7414651336726e-06
5,"direct",0.000617561313753899
6,"direct",0.00211842190251075
7,"direct",0.00158235297025989
8,"direct",1.98944678060759e-07
9,"direct",0.001302607401434
10,"direct",2.87449412496519e-07
11,"direct",2.06449353947714e-07
12,"direct",5.43767735567304e-06
13,"direct",0.00281881506462614
14,"direct",0.0013729999306076
15,"direct",0.00168513621950174
16,"direct",2.14610558023935e-07
17,"direct",2.8320484801387e-07
18,"direct",0.000500822098065345
19,"direct",0.00176872327833928
20,"direct",0.00188939059147533
21,"direct",1.69552938072654e-07
22,"direct",2.83291495900914e-07
23,"direct",0.00198271422679962
24,"direct",7.72525900284865e-05
25,"direct",8.83991008385652e-06
26,"direct",0.0012628270803629
27,"direct",2.12083994593555e-07
28,"direct",2.99729374347901e-07
29,"direct",3.05556888123096e-07
30,"direct",2.85349608914093e-07
31,"direct",1.54424819280495e-07
32,"direct",2.38206230855663e-07
33,"direct",0.00281094105183765
34,"direct",0.000409893298731187
35,"direct",2.67275127403371e-07
36,"direct",1.9970990139723e-07
37,"direct",0.00017312381760316
38,"direct",2.83561940110172e-06
39,"direct",2.47674767365283e-07
40,"direct",2.93482085706748e-07
1,"discuss",1.95644063190685e-07
2,"discuss",2.39140452688094e-07
3,"discuss",0.00528276383402564
4,"discuss",2.49224103061145e-07
5,"discuss",7.3042353019347e-06
6,"discuss",2.61501284102056e-07
7,"discuss",2.1496440296969e-07
8,"discuss",2.18839145866835e-06
9,"discuss",2.40289135110496e-07
10,"discuss",2.87449412496519e-07
11,"discuss",2.06449353947714e-07
12,"discuss",2.58937016936811e-07
13,"discuss",1.71034225145691e-07
14,"discuss",3.03023599780975e-07
15,"discuss",0.00781401419225936
16,"discuss",1.09451384592207e-05
17,"discuss",2.8320484801387e-07
18,"discuss",0.00957023135987178
19,"discuss",0.00228356050096751
20,"discuss",2.93794214193022e-07
21,"discuss",1.69552938072654e-07
22,"discuss",2.83291495900914e-07
23,"discuss",2.37422371787765e-07
24,"discuss",2.85064907854194e-07
25,"discuss",1.73946617779112e-05
26,"discuss",1.87335273752099e-07
27,"discuss",2.12083994593555e-07
28,"discuss",3.29702311782691e-06
29,"discuss",3.05556888123096e-07
30,"discuss",2.85349608914093e-07
31,"discuss",1.54424819280495e-07
32,"discuss",1.21485177736388e-05
33,"discuss",0.0028194410247794
34,"discuss",2.26335338890771e-07
35,"discuss",2.67275127403371e-07
36,"discuss",1.9970990139723e-07
37,"discuss",0.000220726603919513
38,"discuss",2.57783581918338e-07
39,"discuss",2.47674767365283e-07
40,"discuss",0.00191673150175077
1,"domest",1.95644063190685e-07
2,"domest",0.00252317091631208
3,"domest",0.000995833973766583
4,"domest",2.49224103061145e-07
5,"domest",0.0017697455275107
6,"domest",0.00027222283675024
7,"domest",2.1496440296969e-07
8,"domest",0.00211299142568332
9,"domest",2.40289135110496e-07
10,"domest",8.91093178739207e-06
11,"domest",2.06449353947714e-07
12,"domest",2.58937016936811e-07
13,"domest",1.71034225145691e-07
14,"domest",3.03023599780975e-07
15,"domest",1.86186034032976e-05
16,"domest",2.14610558023935e-07
17,"domest",8.77935028842998e-06
18,"domest",2.16712288215207e-07
19,"domest",2.57418611314115e-07
20,"domest",2.93794214193022e-07
21,"domest",1.69552938072654e-07
22,"domest",3.11620645491005e-06
23,"domest",2.37422371787765e-07
24,"domest",0.00745473240529502
25,"domest",2.85158389801824e-07
26,"domest",1.87335273752099e-07
27,"domest",2.12083994593555e-07
28,"domest",1.2288904348264e-05
29,"domest",3.05556888123096e-07
30,"domest",1.16993339654778e-05
31,"domest",1.54424819280495e-07
