"topic","term","beta"
32,"follow",0.00114418357685413
33,"follow",0.000105693532706916
34,"follow",0.00067710379873849
35,"follow",8.23212620178752e-07
36,"follow",1.08258734044016e-06
1,"growth",1.05846651488257e-06
2,"growth",5.85252914120573e-07
3,"growth",1.14118384129328e-06
4,"growth",8.04102207823432e-07
5,"growth",1.20546848724554e-06
6,"growth",5.89305403400174e-07
7,"growth",0.00251111759258076
8,"growth",1.99331196376349e-05
9,"growth",1.29817559123047e-05
10,"growth",1.18579934140705e-06
11,"growth",0.00510582855739595
12,"growth",8.80473131041696e-07
13,"growth",8.66781717493303e-07
14,"growth",8.39339506955186e-07
15,"growth",0.148919057521955
16,"growth",7.53441532560353e-07
17,"growth",7.32835347287007e-07
18,"growth",1.24127538563323e-06
19,"growth",8.86774031354556e-07
20,"growth",1.03306532175336e-06
21,"growth",7.63351203385004e-07
22,"growth",1.59117505384681e-05
23,"growth",1.28261485524525e-05
24,"growth",1.22095202513208e-06
25,"growth",1.06056572697008e-06
26,"growth",0.00756552199628371
27,"growth",0.000117087747105949
28,"growth",8.42933645106391e-07
29,"growth",3.76815857383707e-05
30,"growth",1.02398899007038e-06
31,"growth",0.00579666634523716
32,"growth",7.83150976628425e-07
33,"growth",1.04647062086056e-06
34,"growth",9.7988972321055e-07
35,"growth",8.23212620178752e-07
36,"growth",1.08258734044016e-06
1,"implement",1.05846651488257e-06
2,"implement",5.85252914120573e-07
3,"implement",0.00360728212232806
4,"implement",8.04102207823432e-07
5,"implement",1.32601533597009e-05
6,"implement",5.89305403400174e-07
7,"implement",1.16201647042145e-06
8,"implement",9.58688134952914e-05
9,"implement",1.18015962839134e-06
10,"implement",1.18579934140705e-06
11,"implement",1.13690237305632e-06
12,"implement",8.80473131041696e-07
13,"implement",8.66781717493303e-07
14,"implement",9.23273457650705e-06
15,"implement",1.35279222464222e-05
16,"implement",7.53441532560353e-07
17,"implement",7.32835347287007e-07
18,"implement",1.24127538563323e-06
19,"implement",9.75451434490012e-06
20,"implement",1.03306532175336e-06
21,"implement",0.000153433591880386
22,"implement",1.44652277622437e-06
23,"implement",1.16601350476841e-06
24,"implement",1.22095202513208e-06
25,"implement",0.000308624626548294
26,"implement",0.000681216460910439
27,"implement",2.03210139605366e-05
28,"implement",0.000287440372981279
29,"implement",2.55262355001866e-05
30,"implement",1.02398899007038e-06
31,"implement",9.94111875362229e-07
32,"implement",7.83150976628425e-07
33,"implement",1.04647062086056e-06
34,"implement",9.7988972321055e-07
35,"implement",8.23212620178752e-07
36,"implement",1.08258734044016e-06
1,"inform",1.05846651488257e-06
2,"inform",5.85252914120573e-07
3,"inform",0.00796660439606839
4,"inform",8.04102207823432e-07
5,"inform",2.53148382321563e-05
6,"inform",1.23754134714037e-05
7,"inform",0.00858846373288495
8,"inform",9.49196173220708e-07
9,"inform",1.18015962839134e-06
10,"inform",1.18579934140705e-06
11,"inform",0.00494666222516806
12,"inform",8.80473131041696e-07
13,"inform",1.82024160673594e-05
14,"inform",4.28063148547145e-05
15,"inform",1.22981111331111e-06
16,"inform",7.53441532560353e-07
17,"inform",7.32835347287007e-07
18,"inform",1.24127538563323e-06
19,"inform",0.00673150167201243
20,"inform",1.03306532175336e-06
21,"inform",7.63351203385004e-07
22,"inform",1.44652277622437e-06
23,"inform",1.16601350476841e-06
24,"inform",1.22095202513208e-06
25,"inform",1.06056572697008e-06
26,"inform",1.13364312708242e-05
27,"inform",2.03210139605366e-05
28,"inform",8.42933645106391e-07
29,"inform",1.21553502381841e-06
30,"inform",3.17436586921817e-05
31,"inform",9.94111875362229e-07
32,"inform",4.77722095743339e-05
33,"inform",1.04647062086056e-06
34,"inform",2.05776841874216e-05
35,"inform",0.0025610144613761
36,"inform",3.35602075536449e-05
1,"intermeet",1.05846651488257e-06
2,"intermeet",5.85252914120573e-07
3,"intermeet",0.00587823796650169
4,"intermeet",8.04102207823432e-07
5,"intermeet",1.20546848724554e-06
6,"intermeet",5.89305403400174e-07
7,"intermeet",1.16201647042145e-06
8,"intermeet",9.49196173220708e-07
9,"intermeet",1.18015962839134e-06
10,"intermeet",1.18579934140705e-06
11,"intermeet",1.13690237305632e-06
12,"intermeet",8.80473131041696e-07
13,"intermeet",8.66781717493303e-07
14,"intermeet",8.39339506955186e-07
15,"intermeet",1.22981111331111e-06
16,"intermeet",7.53441532560353e-07
17,"intermeet",7.32835347287007e-07
18,"intermeet",1.24127538563323e-06
19,"intermeet",8.86774031354556e-07
20,"intermeet",1.03306532175336e-06
21,"intermeet",7.63351203385004e-07
22,"intermeet",0.0204552785785889
23,"intermeet",1.16601350476841e-06
24,"intermeet",1.22095202513208e-06
25,"intermeet",1.06056572697008e-06
26,"intermeet",1.03058466098402e-06
27,"intermeet",9.67667331454123e-07
28,"intermeet",8.42933645106391e-07
29,"intermeet",1.21553502381841e-06
30,"intermeet",1.02398899007038e-06
31,"intermeet",9.94111875362229e-07
32,"intermeet",7.83150976628425e-07
33,"intermeet",1.04647062086056e-06
34,"intermeet",9.7988972321055e-07
35,"intermeet",8.23212620178752e-07
36,"intermeet",1.08258734044016e-06
1,"issu",1.16431316637083e-05
2,"issu",5.85252914120573e-07
3,"issu",1.14118384129328e-06
4,"issu",0.00174570589318467
5,"issu",8.55882625944333e-05
6,"issu",0.00013612954818544
7,"issu",1.16201647042145e-06
8,"issu",0.000257232162942812
9,"issu",1.18015962839134e-06
10,"issu",0.00635707026928317
11,"issu",1.13690237305632e-06
12,"issu",8.80473131041696e-07
13,"issu",1.82024160673594e-05
14,"issu",8.39339506955186e-07
15,"issu",1.22981111331111e-06
16,"issu",0.0105790725586799
17,"issu",7.32835347287007e-07
18,"issu",1.24127538563323e-06
19,"issu",0.00815034012217972
20,"issu",6.3016984626955e-05
21,"issu",7.63351203385004e-07
22,"issu",1.44652277622437e-06
23,"issu",1.16601350476841e-06
24,"issu",0.0205986816160033
25,"issu",0.000881330119112137
26,"issu",1.03058466098402e-06
27,"issu",9.67667331454123e-07
28,"issu",0.00832902734729625
29,"issu",1.21553502381841e-06
30,"issu",1.12638788907742e-05
31,"issu",9.94111875362229e-07
32,"issu",7.83150976628425e-07
33,"issu",1.04647062086056e-06
34,"issu",9.7988972321055e-07
35,"issu",8.23212620178752e-07
36,"issu",1.08258734044016e-06
1,"meet",1.05846651488257e-06
2,"meet",5.85252914120573e-07
3,"meet",0.0135127578647537
4,"meet",8.04102207823432e-07
5,"meet",0.000989689628028589
6,"meet",5.89305403400174e-07
7,"meet",1.16201647042145e-06
8,"meet",3.8917043102049e-05
9,"meet",1.18015962839134e-06
10,"meet",1.18579934140705e-06
11,"meet",0.0156676516030892
12,"meet",8.80473131041696e-07
13,"meet",8.66781717493303e-07
14,"meet",8.39339506955186e-07
15,"meet",1.35279222464222e-05
16,"meet",7.53441532560353e-07
17,"meet",7.32835347287007e-07
18,"meet",1.24127538563323e-06
19,"meet",8.86774031354556e-07
20,"meet",2.16943717568205e-05
21,"meet",7.63351203385004e-07
22,"meet",0.00374794051319735
23,"meet",1.28261485524525e-05
24,"meet",1.22095202513208e-06
25,"meet",0.00371304061012225
26,"meet",1.03058466098402e-06
27,"meet",9.67667331454123e-07
28,"meet",0.0260727805767858
29,"meet",1.21553502381841e-06
30,"meet",1.12638788907742e-05
31,"meet",0.0153898459424827
32,"meet",7.83150976628425e-07
33,"meet",1.04647062086056e-06
34,"meet",9.7988972321055e-07
35,"meet",4.19838436291164e-05
36,"meet",1.08258734044016e-06
1,"monetari",1.05846651488257e-06
2,"monetari",5.85252914120573e-07
3,"monetari",0.0222770497658861
4,"monetari",8.04102207823432e-07
5,"monetari",1.32601533597009e-05
6,"monetari",5.89305403400174e-07
7,"monetari",1.16201647042145e-06
8,"monetari",9.49196173220708e-07
9,"monetari",1.18015962839134e-06
10,"monetari",1.18579934140705e-06
11,"monetari",0.00590166021853538
12,"monetari",8.80473131041696e-07
13,"monetari",9.53459889242632e-06
14,"monetari",8.39339506955186e-07
15,"monetari",1.22981111331111e-06
16,"monetari",7.53441532560353e-07
17,"monetari",7.32835347287007e-07
18,"monetari",1.24127538563323e-06
19,"monetari",8.86774031354556e-07
20,"monetari",1.03306532175336e-06
21,"monetari",8.39686323723505e-06
22,"monetari",1.44652277622437e-06
23,"monetari",1.16601350476841e-06
24,"monetari",1.22095202513208e-06
25,"monetari",0.00649172281478386
26,"monetari",1.03058466098402e-06
27,"monetari",9.67667331454123e-07
28,"monetari",8.42933645106391e-07
29,"monetari",6.19922862147389e-05
30,"monetari",1.02398899007038e-06
31,"monetari",0.0062141933328893
32,"monetari",7.83150976628425e-07
33,"monetari",0.00401949365472539
34,"monetari",9.7988972321055e-07
35,"monetari",8.23212620178752e-07
36,"monetari",1.08258734044016e-06
1,"money",1.05846651488257e-06
2,"money",0.00615159338032134
3,"money",1.14118384129328e-06
4,"money",8.04102207823432e-07
5,"money",1.20546848724554e-06
6,"money",4.77337376754141e-05
7,"money",1.16201647042145e-06
8,"money",0.0151311361973113
9,"money",1.18015962839134e-06
10,"money",1.18579934140705e-06
11,"money",1.13690237305632e-06
12,"money",0.00766980144450422
13,"money",0.00184711183997823
14,"money",8.39339506955186e-07
15,"money",1.22981111331111e-06
16,"money",7.53441532560353e-07
17,"money",8.06118882015708e-06
18,"money",1.24127538563323e-06
19,"money",9.75451434490012e-06
20,"money",1.03306532175336e-06
21,"money",7.70984715418854e-05
22,"money",1.59117505384681e-05
23,"money",0.00502668421905662
24,"money",1.22095202513208e-06
25,"money",1.06056572697008e-06
26,"money",1.03058466098402e-06
27,"money",0.0290406642842697
28,"money",8.42933645106391e-07
29,"money",1.21553502381841e-06
30,"money",1.02398899007038e-06
31,"money",9.94111875362229e-07
32,"money",7.83150976628425e-07
33,"money",0.0159073999077013
34,"money",2.05776841874216e-05
35,"money",8.23212620178752e-07
36,"money",1.08258734044016e-06
1,"new",2.22277968125339e-05
2,"new",5.85252914120573e-07
3,"new",1.14118384129328e-06
4,"new",0.0030885565802498
5,"new",1.20546848724554e-06
6,"new",0.000872761302435658
7,"new",1.16201647042145e-06
8,"new",0.004528614942436
9,"new",1.18015962839134e-06
10,"new",0.150064092454403
11,"new",1.13690237305632e-06
12,"new",0.00125995705052067
13,"new",0.00124036463773291
14,"new",8.39339506955186e-07
15,"new",1.22981111331111e-06
16,"new",0.00540292922999029
17,"new",0.0279144312135094
18,"new",1.24127538563323e-06
19,"new",0.000674835037860817
20,"new",0.0254557625933245
21,"new",0.00592436868947102
22,"new",1.44652277622437e-06
23,"new",0.00297450045066422
24,"new",0.00124659201765985
25,"new",0.00385091415462836
26,"new",2.16422778806645e-05
27,"new",9.67667331454123e-07
28,"new",0.000919640606811073
29,"new",1.21553502381841e-06
30,"new",0.0108450673938354
31,"new",0.00357979686317939
32,"new",0.000126087307237176
33,"new",0.00124634650944492
34,"new",2.05776841874216e-05
35,"new",0.0123490125153015
36,"new",0.00115945104161141
1,"outlook",0.000212751769491396
2,"outlook",5.85252914120573e-07
3,"outlook",0.0012906789245027
4,"outlook",0.00136777785550766
5,"outlook",1.20546848724554e-06
6,"outlook",5.89305403400174e-07
7,"outlook",1.16201647042145e-06
8,"outlook",9.49196173220708e-07
9,"outlook",2.47833521962181e-05
10,"outlook",1.18579934140705e-06
11,"outlook",0.0232621594551054
12,"outlook",8.80473131041696e-07
13,"outlook",8.66781717493303e-07
14,"outlook",8.39339506955186e-07
15,"outlook",1.22981111331111e-06
16,"outlook",7.53441532560353e-07
17,"outlook",7.32835347287007e-07
18,"outlook",1.24127538563323e-06
19,"outlook",8.86774031354556e-07
20,"outlook",1.03306532175336e-06
21,"outlook",7.63351203385004e-07
22,"outlook",1.44652277622437e-06
23,"outlook",1.16601350476841e-06
24,"outlook",2.56399925277736e-05
25,"outlook",1.06056572697008e-06
26,"outlook",0.00901864636827118
27,"outlook",2.03210139605366e-05
28,"outlook",8.42933645106391e-07
29,"outlook",3.76815857383707e-05
30,"outlook",1.02398899007038e-06
31,"outlook",9.94111875362229e-07
32,"outlook",5.56037193406182e-05
33,"outlook",1.04647062086056e-06
34,"outlook",9.7988972321055e-07
35,"outlook",8.23212620178752e-07
36,"outlook",1.19084607448417e-05
1,"period",0.00310236535512081
2,"period",5.85252914120573e-07
3,"period",0.00781825049670026
4,"period",8.04102207823432e-07
5,"period",1.20546848724554e-06
6,"period",6.48235943740192e-06
7,"period",1.16201647042145e-06
8,"period",9.49196173220708e-07
9,"period",0.00540631125766071
10,"period",1.18579934140705e-06
11,"period",1.13690237305632e-06
12,"period",8.80473131041696e-07
13,"period",8.66781717493303e-07
14,"period",8.39339506955186e-07
15,"period",1.22981111331111e-06
16,"period",7.53441532560353e-07
17,"period",7.32835347287007e-07
18,"period",1.24127538563323e-06
19,"period",8.86774031354556e-07
20,"period",1.03306532175336e-06
21,"period",7.63351203385004e-07
22,"period",0.0575730530165063
23,"period",2.44862836001367e-05
24,"period",1.22095202513208e-06
25,"period",1.06056572697008e-06
26,"period",0.00112436786513357
27,"period",9.67667331454123e-07
28,"period",8.42933645106391e-07
29,"period",1.21553502381841e-06
30,"period",1.02398899007038e-06
31,"period",9.94111875362229e-07
32,"period",1.64461705091969e-05
33,"period",1.04647062086056e-06
34,"period",9.7988972321055e-07
35,"period",8.23212620178752e-07
36,"period",1.08258734044016e-06
1,"polici",1.05846651488257e-06
2,"polici",5.85252914120573e-07
3,"polici",0.0445073109942792
4,"polici",8.04102207823432e-07
5,"polici",1.20546848724554e-06
6,"polici",5.89305403400174e-07
7,"polici",1.16201647042145e-06
8,"polici",9.49196173220708e-07
