"inflation","growth","employment","rates","profits","indprod","housing","nresinv","consum","fedgov","equities","policy","other1","other2","other3","other4","other5","other6","other7","other8","other9","other10","other11","other12","other13","other14","other15","other16","other17","other18","term"
1.7011451939331e-07,1.76383237031026e-07,1.88965081709446e-07,0.00780434746757256,1.20118345398621e-07,1.9466944446986e-07,2.35827198092252e-07,1.86915433663432e-07,1.80540187072131e-07,0.00156501107718718,1.43170478294705e-05,1.64863526796835e-07,1.48811671835144e-07,1.5046796288798e-07,8.50224965274687e-08,0.00445263854808504,2.44293052549879e-06,1.84914559303301e-07,0.00612659012708855,1.6653234379286e-06,7.26371340059968e-08,1.21830236144765e-07,1.29873283935597e-07,8.12222123582358e-08,1.12380473533106e-07,8.17045074782541e-06,1.39717627879703e-07,1.11528811293586e-07,2.11867414219651e-07,0.0154152231396231,"bill"
1.7011451939331e-07,1.76383237031026e-07,1.88965081709446e-07,1.89559337095833e-07,3.72366870735724e-06,1.9466944446986e-07,2.35827198092252e-07,1.86915433663432e-07,1.80540187072131e-07,1.37510858201141e-07,0.000997578762398889,1.81349879476519e-06,1.48811671835144e-07,0.000106982721613354,5.18637228817559e-06,1.13933587883755e-07,1.16330025023752e-07,2.03406015233631e-06,9.35485811346376e-08,7.9301116091838e-08,0.0001417150484457,1.21830236144765e-07,1.29873283935597e-07,8.12222123582358e-08,1.12380473533106e-07,1.99279286532327e-07,1.39717627879703e-07,1.22681692422944e-06,2.11867414219651e-07,0.0140963064887621,"drug"
1.7011451939331e-07,1.76383237031026e-07,1.88965081709446e-07,1.89559337095833e-07,1.20118345398621e-07,1.9466944446986e-07,2.35827198092252e-07,1.86915433663432e-07,1.80540187072131e-07,1.37510858201141e-07,1.18322709334467e-07,1.64863526796835e-07,0.000107293215393139,1.5046796288798e-07,8.50224965274687e-08,0.000155063613109791,0.00382737415330645,1.84914559303301e-07,2.81581229215259e-05,4.04435692068374e-06,7.99008474065965e-07,0.00415331458041118,0.000635210231729004,8.12222123582358e-08,0.00185214258429912,1.99279286532327e-07,1.39717627879703e-07,0.00238125164992935,2.11867414219651e-07,0.0135540588890365,"author"
1.7011451939331e-07,1.76383237031026e-07,1.88965081709446e-07,1.89559337095833e-07,1.20118345398621e-07,1.9466944446986e-07,0.000127582514167908,0.00154597755183025,1.80540187072131e-07,0.00362217351587625,1.18322709334467e-07,1.64863526796835e-07,0.00741989876937212,0.00161918574863755,8.50224965274687e-08,1.13933587883755e-07,1.16330025023752e-07,0.000921059419889743,9.35485811346376e-08,7.9301116091838e-08,1.09682072349055e-05,0.00304709603621672,5.46766525368863e-05,1.70566645952295e-06,0.00129473543557492,0.0159664557162566,1.39717627879703e-07,0.00232771782050843,1.29239122673987e-05,0.0123772158450905,"financ"
1.7011451939331e-07,3.70404797765154e-06,0.0015043510154889,2.08515270805417e-06,0.00566370010389036,0.0017638998363414,4.9523711599373e-06,1.86915433663432e-07,0.0030946393466034,2.88772802222395e-06,1.18322709334467e-07,1.64863526796835e-07,1.48811671835144e-07,1.5046796288798e-07,0.00111472995197164,0.0063838128627147,0.00654251693736082,0.00154791977592793,9.35485811346376e-08,7.9301116091838e-08,0.0010997988459848,1.21830236144765e-07,0.00126509565881665,3.33011070668767e-06,1.47218420328369e-05,1.99279286532327e-07,1.39717627879703e-07,0.00459509855410703,2.11867414219651e-07,0.0122398780250727,"servic"
1.7011451939331e-07,1.76383237031026e-07,1.88965081709446e-07,0.0258731434795474,1.20118345398621e-07,1.9466944446986e-07,2.35827198092252e-07,6.93456258891333e-05,1.80540187072131e-07,0.00269122500585452,1.18322709334467e-07,1.64863526796835e-07,1.48811671835144e-07,1.5046796288798e-07,8.50224965274687e-08,0.00626190392367908,0.00274899482133628,1.84914559303301e-07,9.35485811346376e-08,7.9301116091838e-08,7.99008474065965e-07,1.21830236144765e-07,1.29873283935597e-07,8.12222123582358e-08,0.00655189398745362,0.00745922297419154,1.39717627879703e-07,1.11528811293586e-07,0.00343246397777257,0.0112335233094247,"secur"
1.7011451939331e-07,1.94021560734128e-06,1.88965081709446e-07,0.0187608771517117,1.20118345398621e-07,1.9466944446986e-07,2.59409917901478e-06,1.86915433663432e-07,1.80540187072131e-07,0.0076787438328099,0.00103544202938592,0.0230860045208876,1.48811671835144e-07,1.5046796288798e-07,0.00383119871602427,0.0022001715156232,0.00600274562125061,2.23746616756994e-05,9.35485811346376e-08,0.00270186832636501,7.26371340059968e-08,0.0108162101951684,0.00178588752739839,8.12222123582358e-08,1.12380473533106e-07,0.00245731288223013,2.93407018547375e-06,1.11528811293586e-07,0.00764226949831703,0.0109754229235291,"feder"
1.7011451939331e-07,1.76383237031026e-07,1.88965081709446e-07,1.89559337095833e-07,1.20118345398621e-07,1.9466944446986e-07,0.000669985069780089,1.86915433663432e-07,1.80540187072131e-07,1.11383795142924e-05,1.18322709334467e-07,1.64863526796835e-07,1.48811671835144e-07,4.37861772004021e-05,8.50224965274687e-08,1.13933587883755e-07,1.16330025023752e-07,1.84914559303301e-07,0.000437900908291239,7.9301116091838e-08,1.02418358948455e-05,1.21830236144765e-07,0.00131055130819411,0.000135722316850612,1.12380473533106e-07,0.000241327215990648,1.39717627879703e-07,1.11528811293586e-07,2.33054155641616e-06,0.0108522924642028,"california"
1.7011451939331e-07,1.76383237031026e-07,1.88965081709446e-07,0.00138397272013668,0.000576688176258777,1.9466944446986e-07,2.35827198092252e-07,1.86915433663432e-07,1.80540187072131e-07,0.000375542153747315,1.18322709334467e-07,1.64863526796835e-07,0.000699563669297012,0.000472619871431144,8.50224965274687e-08,0.00373599628029622,0.00156475516659448,5.73235133840233e-06,1.02903439248101e-06,7.9301116091838e-08,7.26371340059968e-08,0.0194515373331093,0.00190017601726172,0.00386625853046438,0.00233425481575615,1.99279286532327e-07,1.39717627879703e-07,1.11528811293586e-07,2.11867414219651e-07,0.0103242522251687,"system"
0.0101083748568699,1.94021560734128e-06,0.00734148238949369,0.00606608834640376,3.72366870735724e-06,0.00208705111416136,0.00762924568548245,0.000845044675592377,0.00746371187374897,1.37510858201141e-07,2.02331832961938e-05,1.64863526796835e-07,0.00217279922046494,1.5046796288798e-07,0.0301975251141576,0.000635863353979239,0.00164385958361063,0.000186948619455637,0.000437900908291239,0.00485727266174117,0.00430672831234956,1.21830236144765e-07,1.29873283935597e-07,8.12222123582358e-08,0.00504711944684533,0.0078836878545054,1.39717627879703e-07,1.11528811293586e-07,2.35172829783813e-05,0.00977253305164873,"month"
