DATE,EMPLOY22M6
2000:07,"132,236 "
2000:08,"132,230 "
2000:09,"132,353 "
2000:10,"132,351 "
2000:11,"132,556 "
2000:12,"132,709 "
2001:01,"132,698 "
2001:02,"132,789 "
2001:03,"132,747 "
2001:04,"132,463 "
2001:05,"132,410 "
2001:06,"132,299 "
2001:07,"132,177 "
2001:08,"132,028 "
2001:09,"131,771 "
2001:10,"131,454 "
2001:11,"131,142 "
2001:12,"130,982 "
2002:01,"130,852 "
2002:02,"130,736 "
2002:03,"130,717 "
2002:04,"130,623 "
2002:05,"130,634 "
2002:06,"130,684 "
2002:07,"130,590 "
2002:08,"130,587 "
2002:09,"130,501 "
2002:10,"130,628 "
2002:11,"130,615 "
2002:12,"130,472 "
2003:01,"130,580 "
2003:02,"130,444 "
2003:03,"130,232 "
2003:04,"130,177 "
2003:05,"130,196 "
2003:06,"130,194 "
2003:07,"130,191 "
2003:08,"130,149 "
2003:09,"130,254 "
2003:10,"130,454 "
2003:11,"130,474 "
2003:12,"130,588 "
2004:01,"130,769 "
2004:02,"130,825 "
2004:03,"131,142 "
2004:04,"131,411 "
2004:05,"131,694 "
2004:06,"131,793 "
2004:07,"131,848 "
2004:08,"131,937 "
2004:09,"132,093 "
2004:10,"132,447 "
2004:11,"132,503 "
2004:12,"132,624 "
2005:01,"132,774 "
2005:02,"133,032 "
2005:03,"133,156 "
2005:04,"133,518 "
2005:05,"133,690 "
2005:06,"133,942 "
2005:07,"134,296 "
2005:08,"134,498 "
2005:09,"134,566 "
2005:10,"134,655 "
2005:11,"134,993 "
2005:12,"135,149 "
2006:01,"135,429 "
2006:02,"135,737 "
2006:03,"136,047 "
2006:04,"136,205 "
2006:05,"136,244 "
2006:06,"136,325 "
2006:07,"136,520 "
2006:08,"136,694 "
2006:09,"136,843 "
2006:10,"136,852 "
2006:11,"137,063 "
2006:12,"137,249 "
2007:01,"137,477 "
2007:02,"137,558 "
2007:03,"137,793 "
2007:04,"137,842 "
2007:05,"137,993 "
2007:06,"138,069 "
2007:07,"138,038 "
2007:08,"138,015 "
2007:09,"138,095 "
2007:10,"138,174 "
2007:11,"138,284 "
2007:12,"138,392 "
2008:01,"138,403 "
2008:02,"138,324 "
2008:03,"138,275 "
2008:04,"138,035 "
2008:05,"137,858 "
2008:06,"137,687 "
2008:07,"137,491 "
2008:08,"137,213 "
2008:09,"136,753 "
2008:10,"136,272 "
2008:11,"135,545 "
2008:12,"134,839 "
2009:01,"134,055 "
2009:02,"133,312 "
2009:03,"132,512 "
2009:04,"131,817 "
2009:05,"131,475 "
2009:06,"131,008 "
2009:07,"130,668 "
2009:08,"130,485 "
2009:09,"130,244 "
2009:10,"130,045 "
2009:11,"130,057 "
2009:12,"129,788 "
2010:01,"129,790 "
2010:02,"129,698 "
2010:03,"129,879 "
2010:04,"130,110 "
2010:05,"130,650 "
2010:06,"130,511 "
2010:07,"130,427 "
2010:08,"130,422 "
2010:09,"130,357 "
2010:10,"130,625 "
2010:11,"130,750 "
2010:12,"130,822 "
2011:01,"130,841 "
2011:02,"131,053 "
2011:03,"131,288 "
2011:04,"131,602 "
2011:05,"131,703 "
2011:06,"131,939 "
2011:07,"131,999 "
2011:08,"132,125 "
2011:09,"132,358 "
2011:10,"132,562 "
2011:11,"132,694 "
2011:12,"132,896 "
2012:01,"133,250 "
2012:02,"133,512 "
2012:03,"133,752 "
2012:04,"133,834 "
2012:05,"133,934 "
2012:06,"134,007 "
2012:07,"134,159 "
2012:08,"134,331 "
2012:09,"134,518 "
2012:10,"134,677 "
2012:11,"134,833 "
2012:12,"135,072 "
2013:01,"135,263 "
2013:02,"135,541 "
2013:03,"135,680 "
2013:04,"135,871 "
2013:05,"136,093 "
2013:06,"136,274 "
2013:07,"136,386 "
2013:08,"136,628 "
2013:09,"136,815 "
2013:10,"137,040 "
2013:11,"137,304 "
2013:12,"137,373 "
2014:01,"137,548 "
2014:02,"137,714 "
2014:03,"137,968 "
2014:04,"138,293 "
2014:05,"138,511 "
2014:06,"138,837 "
2014:07,"139,069 "
2014:08,"139,257 "
2014:09,"139,566 "
2014:10,"139,818 "
2014:11,"140,109 "
2014:12,"140,377 "
2015:01,"140,568 "
2015:02,"140,839 "
2015:03,"140,910 "
2015:04,"141,194 "
2015:05,"141,525 "
2015:06,"141,699 "
2015:07,"142,001 "
2015:08,"142,126 "
2015:09,"142,281 "
2015:10,"142,587 "
2015:11,"142,824 "
2015:12,"143,097 "
2016:01,"143,205 "
2016:02,"143,417 "
2016:03,"143,654 "
2016:04,"143,851 "
2016:05,"143,892 "
2016:06,"144,150 "
2016:07,"144,521 "
2016:08,"144,664 "
2016:09,"144,953 "
2016:10,"145,071 "
2016:11,"145,201 "
2016:12,"145,415 "
2017:01,"145,628 "
2017:02,"145,818 "
2017:03,"145,960 "
2017:04,"146,165 "
2017:05,"146,388 "
2017:06,"146,585 "
2017:07,"146,768 "
2017:08,"146,913 "
2017:09,"147,012 "
2017:10,"147,153 "
2017:11,"147,353 "
2017:12,"147,529 "
2018:01,"147,662 "
2018:02,"148,064 "
2018:03,"148,289 "
2018:04,"148,468 "
2018:05,"148,801 "
2018:06,"148,984 "
2018:07,"149,050 "
2018:08,"149,269 "
2018:09,"149,326 "
2018:10,"149,471 "
2018:11,"149,573 "
2018:12,"149,821 "
2019:01,"150,100 "
2019:02,"150,124 "
2019:03,"150,348 "
2019:04,"150,636 "
2019:05,"150,713 "
2019:06,"150,843 "
2019:07,"150,921 "
2019:08,"151,081 "
2019:09,"151,244 "
2019:10,"151,337 "
2019:11,"151,589 "
2019:12,"151,789 "
2020:01,"152,128 "
2020:02,"152,504 "
2020:03,"151,006 "
2020:04,"130,513 "
2020:05,"133,155 "
2020:06,"137,660 "
2020:07,"139,048 "
2020:08,"140,713 "
2020:09,"141,632 "
2020:10,"142,279 "
2020:11,"142,612 "
2020:12,"142,497 "
2021:01,"143,017 "
2021:02,"143,727 "
2021:03,"144,431 "
2021:04,"144,694 "
2021:05,"145,141 "
2021:06,"145,698 "
2021:07,"146,387 "
2021:08,"146,904 "
2021:09,"147,328 "
2021:10,"148,005 "
2021:11,"148,652 "
2021:12,"149,240 "
2022:01,"149,744 "
2022:02,"150,458 "
2022:03,"150,856 "
2022:04,"151,292 "
2022:05,"151,682 "
