year,month,pub_date,meet_date,source
2011,April,18/05/2011,26/04/2011,https://www.federalreserve.gov/monetarypolicy/fomchistorical2011.htm
2011,June,12/07/2011,21/06/2011,https://www.federalreserve.gov/monetarypolicy/fomchistorical2011.htm
2011,August,30/08/2011,09/08/2011,https://www.federalreserve.gov/monetarypolicy/fomchistorical2011.htm
2011,September,12/10/2011,20/09/2011,https://www.federalreserve.gov/monetarypolicy/fomchistorical2011.htm
2011,November,22/11/2011,01/11/2011,https://www.federalreserve.gov/monetarypolicy/fomchistorical2011.htm
2011,December,03/01/2012,13/12/2011,https://www.federalreserve.gov/monetarypolicy/fomchistorical2011.htm
2012,January,15/02/2012,24/01/2012,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
2012,March,03/04/2012,13/03/2012,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
2012,April,16/05/2012,24/04/2012,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
2012,June,11/07/2012,19/06/2012,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
2012,July,22/08/2012,31/07/2012,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
2012,September,04/10/2012,12/09/2012,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
2012,October,14/11/2012,23/10/2012,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
2012,December,03/01/2013,11/12/2012,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
2013,January,20/02/2013,29/01/2013,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
2013,March,10/04/2013,19/03/2013,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
2013,April,22/05/2013,30/04/2013,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
2013,June,10/07/2013,18/06/2013,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
2013,July,21/08/2013,30/07/2013,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
2013,September,09/10/2013,17/09/2013,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
2013,October,20/11/2013,29/10/2013,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
2013,December,08/01/2014,17/12/2013,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
2014,January,19/02/2014,28/01/2014,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2014,March,09/04/2014,18/03/2014,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2014,April,21/05/2014,29/04/2014,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2014,June,09/07/2014,17/06/2014,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2014,July,20/08/2014,29/07/2014,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2014,September,08/10/2014,16/09/2014,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2014,October,19/11/2014,28/10/2014,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2014,December,07/01/2015,16/12/2014,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2015,January,18/02/2015,27/01/2015,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2015,March,08/04/2015,17/03/2015,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2015,April,20/05/2015,28/04/2015,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2015,June,08/07/2015,16/06/2015,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2015,July,19/08/2015,28/07/2015,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2015,September,08/10/2015,16/09/2015,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2015,October,18/11/2015,27/10/2015,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2015,December,06/01/2016,15/12/2015,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2016,January,17/02/2016,26/01/2016,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2016,March,06/04/2016,15/03/2016,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2016,April,18/05/2016,26/04/2016,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2016,June,06/07/2016,14/06/2016,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2016,July,17/08/2016,26/07/2016,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2016,September,12/10/2016,20/09/2016,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2016,November,23/11/2016,01/11/2016,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2016,December,04/01/2017,13/12/2016,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2017,January,22/02/2017,31/01/2017,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2017,March,05/04/2017,14/03/2017,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2017,May,24/05/2017,02/05/2017,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2017,June,05/07/2017,13/06/2017,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2017,July,16/08/2017,25/07/2017,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
