"unique_id","meeting_id","meet_date","pub_date","quarter","wordcount","sentiment"
"FEDp_143","FEDm_5","1993-08-17","1993-09-24","1993-07-01",75,-0.0256410256410256
"FEDp_144","FEDm_5","1993-08-17","1993-09-24","1993-07-01",77,-0.0459770114942529
"FEDp_145","FEDm_5","1993-08-17","1993-09-24","1993-07-01",75,0
"FEDp_146","FEDm_5","1993-08-17","1993-09-24","1993-07-01",64,0.0303030303030303
"FEDp_147","FEDm_5","1993-08-17","1993-09-24","1993-07-01",40,-0.0238095238095238
"FEDp_148","FEDm_5","1993-08-17","1993-09-24","1993-07-01",66,-0.0136986301369863
"FEDp_149","FEDm_5","1993-08-17","1993-09-24","1993-07-01",60,-0.0161290322580645
"FEDp_150","FEDm_5","1993-08-17","1993-09-24","1993-07-01",82,-0.0309278350515464
"FEDp_151","FEDm_5","1993-08-17","1993-09-24","1993-07-01",83,0.0114942528735632
"FEDp_152","FEDm_5","1993-08-17","1993-09-24","1993-07-01",126,0
"FEDp_153","FEDm_5","1993-08-17","1993-09-24","1993-07-01",111,-0.0707964601769911
"FEDp_154","FEDm_5","1993-08-17","1993-09-24","1993-07-01",163,0
"FEDp_155","FEDm_5","1993-08-17","1993-09-24","1993-07-01",82,0.0602409638554217
"FEDp_156","FEDm_5","1993-08-17","1993-09-24","1993-07-01",71,-0.0540540540540541
"FEDp_157","FEDm_5","1993-08-17","1993-09-24","1993-07-01",163,-0.0416666666666667
"FEDp_158","FEDm_5","1993-08-17","1993-09-24","1993-07-01",90,-0.010989010989011
"FEDp_159","FEDm_5","1993-08-17","1993-09-24","1993-07-01",105,-0.00934579439252336
"FEDp_160","FEDm_5","1993-08-17","1993-09-24","1993-07-01",99,-0.00970873786407767
"FEDp_161","FEDm_5","1993-08-17","1993-09-24","1993-07-01",68,0.0434782608695652
"FEDp_162","FEDm_5","1993-08-17","1993-09-24","1993-07-01",21,0.0476190476190476
"FEDp_163","FEDm_5","1993-08-17","1993-09-24","1993-07-01",75,-0.0449438202247191
"FEDp_164","FEDm_5","1993-08-17","1993-09-24","1993-07-01",29,-0.0344827586206897
"FEDp_165","FEDm_5","1993-08-17","1993-09-24","1993-07-01",34,-0.0487804878048781
"FEDp_166","FEDm_5","1993-08-17","1993-09-24","1993-07-01",101,-0.0186915887850467
"FEDp_167","FEDm_5","1993-08-17","1993-09-24","1993-07-01",52,0.0377358490566038
"FEDp_168","FEDm_6","1993-09-21","1993-11-19","1993-07-01",32,0.0294117647058824
"FEDp_169","FEDm_6","1993-09-21","1993-11-19","1993-07-01",55,0
"FEDp_170","FEDm_6","1993-09-21","1993-11-19","1993-07-01",52,-0.0178571428571429
"FEDp_171","FEDm_6","1993-09-21","1993-11-19","1993-07-01",59,0.0806451612903226
"FEDp_172","FEDm_6","1993-09-21","1993-11-19","1993-07-01",66,-0.0136986301369863
"FEDp_173","FEDm_6","1993-09-21","1993-11-19","1993-07-01",78,0
"FEDp_174","FEDm_6","1993-09-21","1993-11-19","1993-07-01",70,-0.0533333333333333
"FEDp_175","FEDm_6","1993-09-21","1993-11-19","1993-07-01",85,-0.0326086956521739
"FEDp_176","FEDm_6","1993-09-21","1993-11-19","1993-07-01",94,0.0204081632653061
"FEDp_177","FEDm_6","1993-09-21","1993-11-19","1993-07-01",68,0.0285714285714286
"FEDp_178","FEDm_6","1993-09-21","1993-11-19","1993-07-01",35,-0.027027027027027
"FEDp_179","FEDm_6","1993-09-21","1993-11-19","1993-07-01",51,-0.06
"FEDp_180","FEDm_6","1993-09-21","1993-11-19","1993-07-01",69,-0.04
"FEDp_181","FEDm_6","1993-09-21","1993-11-19","1993-07-01",59,-0.0441176470588235
"FEDp_182","FEDm_6","1993-09-21","1993-11-19","1993-07-01",68,0.0142857142857143
"FEDp_183","FEDm_6","1993-09-21","1993-11-19","1993-07-01",149,-0.06
"FEDp_184","FEDm_6","1993-09-21","1993-11-19","1993-07-01",118,-0.072
