"unique_id","date"
"nyt_ec_news67422","1993-03-28"
"nyt_ec_news67423","1993-03-28"
"nyt_ec_news67424","1993-03-28"
"nyt_ec_news67425","1993-03-28"
"nyt_ec_news67426","1993-03-28"
"nyt_ec_news67427","1993-03-28"
"nyt_ec_news67428","1993-03-28"
"nyt_ec_news67429","1993-03-28"
"nyt_ec_news67430","1993-03-28"
"nyt_ec_news67431","1993-03-28"
"nyt_ec_news67404","1993-03-29"
"nyt_ec_news67405","1993-03-29"
"nyt_ec_news67406","1993-03-29"
"nyt_ec_news67407","1993-03-29"
"nyt_ec_news67408","1993-03-29"
"nyt_ec_news67409","1993-03-29"
"nyt_ec_news67410","1993-03-29"
"nyt_ec_news67411","1993-03-29"
"nyt_ec_news67412","1993-03-29"
"nyt_ec_news67390","1993-03-30"
"nyt_ec_news67391","1993-03-30"
"nyt_ec_news67392","1993-03-30"
"nyt_ec_news67393","1993-03-30"
"nyt_ec_news67394","1993-03-30"
"nyt_ec_news67395","1993-03-30"
"nyt_ec_news67396","1993-03-30"
"nyt_ec_news67397","1993-03-30"
"nyt_ec_news67398","1993-03-30"
"nyt_ec_news67399","1993-03-30"
"nyt_ec_news67400","1993-03-30"
"nyt_ec_news67401","1993-03-30"
"nyt_ec_news67402","1993-03-30"
"nyt_ec_news67403","1993-03-30"
"nyt_ec_news67379","1993-03-31"
"nyt_ec_news67380","1993-03-31"
"nyt_ec_news67381","1993-03-31"
"nyt_ec_news67382","1993-03-31"
"nyt_ec_news67383","1993-03-31"
"nyt_ec_news67384","1993-03-31"
"nyt_ec_news67385","1993-03-31"
"nyt_ec_news67386","1993-03-31"
"nyt_ec_news67387","1993-03-31"
"nyt_ec_news67388","1993-03-31"
"nyt_ec_news67389","1993-03-31"
"nyt_ec_news67364","1993-04-01"
"nyt_ec_news67365","1993-04-01"
"nyt_ec_news67366","1993-04-01"
"nyt_ec_news67367","1993-04-01"
"nyt_ec_news67368","1993-04-01"
"nyt_ec_news67369","1993-04-01"
"nyt_ec_news67370","1993-04-01"
"nyt_ec_news67371","1993-04-01"
"nyt_ec_news67372","1993-04-01"
"nyt_ec_news67373","1993-04-01"
"nyt_ec_news67374","1993-04-01"
"nyt_ec_news67375","1993-04-01"
"nyt_ec_news67376","1993-04-01"
"nyt_ec_news67377","1993-04-01"
"nyt_ec_news67378","1993-04-01"
"nyt_ec_news67803","1993-05-12"
"nyt_ec_news67804","1993-05-12"
"nyt_ec_news67805","1993-05-12"
"nyt_ec_news67806","1993-05-12"
"nyt_ec_news67807","1993-05-12"
"nyt_ec_news67808","1993-05-12"
"nyt_ec_news67809","1993-05-12"
"nyt_ec_news67810","1993-05-12"
"nyt_ec_news67811","1993-05-12"
"nyt_ec_news67812","1993-05-12"
"nyt_ec_news67813","1993-05-12"
"nyt_ec_news67965","1993-05-13"
"nyt_ec_news67966","1993-05-13"
"nyt_ec_news67967","1993-05-13"
"nyt_ec_news67968","1993-05-13"
"nyt_ec_news67969","1993-05-13"
"nyt_ec_news67970","1993-05-13"
"nyt_ec_news67971","1993-05-13"
"nyt_ec_news67972","1993-05-13"
"nyt_ec_news67973","1993-05-13"
"nyt_ec_news67974","1993-05-13"
"nyt_ec_news67975","1993-05-13"
"nyt_ec_news67950","1993-05-14"
"nyt_ec_news67951","1993-05-14"
"nyt_ec_news67952","1993-05-14"
"nyt_ec_news67953","1993-05-14"
"nyt_ec_news67954","1993-05-14"
"nyt_ec_news67955","1993-05-14"
"nyt_ec_news67956","1993-05-14"
"nyt_ec_news67957","1993-05-14"
"nyt_ec_news67958","1993-05-14"
"nyt_ec_news67959","1993-05-14"
"nyt_ec_news67960","1993-05-14"
"nyt_ec_news67961","1993-05-14"
"nyt_ec_news67962","1993-05-14"
"nyt_ec_news67963","1993-05-14"
"nyt_ec_news67964","1993-05-14"
"nyt_ec_news67937","1993-05-15"
"nyt_ec_news67938","1993-05-15"
"nyt_ec_news67939","1993-05-15"
"nyt_ec_news67940","1993-05-15"
"nyt_ec_news67941","1993-05-15"
"nyt_ec_news67942","1993-05-15"
"nyt_ec_news67943","1993-05-15"
"nyt_ec_news67944","1993-05-15"
"nyt_ec_news67945","1993-05-15"
"nyt_ec_news67946","1993-05-15"
"nyt_ec_news67947","1993-05-15"
"nyt_ec_news67948","1993-05-15"
"nyt_ec_news67949","1993-05-15"
"nyt_ec_news67922","1993-05-16"
"nyt_ec_news67923","1993-05-16"
"nyt_ec_news67924","1993-05-16"
"nyt_ec_news67925","1993-05-16"
"nyt_ec_news67926","1993-05-16"
"nyt_ec_news67927","1993-05-16"
"nyt_ec_news67928","1993-05-16"
"nyt_ec_news67929","1993-05-16"
"nyt_ec_news67930","1993-05-16"
"nyt_ec_news67931","1993-05-16"
"nyt_ec_news67932","1993-05-16"
"nyt_ec_news67933","1993-05-16"
"nyt_ec_news67934","1993-05-16"
"nyt_ec_news67935","1993-05-16"
"nyt_ec_news67936","1993-05-16"
"nyt_ec_news67911","1993-05-17"
"nyt_ec_news67912","1993-05-17"
"nyt_ec_news67913","1993-05-17"
"nyt_ec_news67914","1993-05-17"
"nyt_ec_news67915","1993-05-17"
"nyt_ec_news67916","1993-05-17"
