"variable","quarter","dispersion","f1_dispersion","variable_act","GB_nowcast","SPF_nowcast","GB_forecast1","SPF_forecast1","GB_now_error_abs","SPF_now_error_abs","GB_now_error_abs_std","SPF_now_error_abs_std","GB_SPF_now_gap_abs","GB_SPF_f1_gap_abs","GB_SPF_now_gap_abs_std","GB_SPF_f1_gap_abs_std","SPF_update_abs","GB_update_abs","SPF_update_abs_std","GB_update_abs_std","period"
"CPI",2009-04-01,1.6825,1.3,1.3,1.2,0.9057,4.5,1.9377,0.1,0.3943,-0.621981986421105,-0.525936514737807,0.2943,2.5623,-0.652402109895752,2.03426624432875,0.0447000000000001,0.3,-0.713689408090211,-0.678327821557843,"66"
"CPI",2009-07-01,1.6,1.3,3.7,3.6,2.2954,1.8,1.7011,0.1,1.4046,-0.621981986421105,0.656172765861403,1.3046,0.0989,0.575144113332976,-0.821424726487432,0.3577,0.9,-0.306315555257273,-0.114226187568031,"67"
"CPI",2009-10-01,0.8,1.1,2.6,3.3,2.2232,1.2,1.4197,0.7,0.3768,2.08747379004344,-0.546412524250315,1.0768,0.2197,0.298359960456103,-0.681387595175183,0.5221,1.5,-0.0923466689769692,0.449875446421782,"68"
"CPI",2010-01-01,1.1555,1.4,1.5,1.6,1.9124,1.4,1.2285,0.1,0.4124,-0.621981986421105,-0.504758470613443,0.3124,0.1715,-0.630410041559179,-0.737263337966991,0.4927,0.4,-0.130611177837315,-0.584310882559541,"69"
"CPI",2010-04-01,1.2485,1.0481,-0.7,-1,1.2122,0.9,1.8485,0.3,1.9122,0.281169939067075,1.25009404749276,2.2122,0.9485,1.67790661180115,0.163472183801368,0.0163,2.4,-0.750652403043742,1.2960278974065,"70"
"CPI",2010-07-01,0.9,0.8,1.4,1.6,1.2427,1.5,1.6561,0.2,0.1573,-0.170406023677014,-0.803240186421479,0.3573,0.1561,-0.575855131707679,-0.755115753713752,0.6058,0.7,0.0165900450234048,-0.302260065564635,"71"
"CPI",2010-10-01,0.7542,0.9,2.6,2.2,1.9562,1.8,1.6984,0.4,0.6438,0.732745901811165,-0.234007121973774,0.2438,0.1016,-0.713761195586191,-0.818294757492871,0.3001,0.7,-0.381282756289788,-0.302260065564635,"72"
"CPI",2011-01-01,1.2991,1.3339,5.2,4.6,2.4222,2.8,1.2525,0.600000000000001,2.7778,1.63589782729935,2.26289598086569,2.1778,1.5475,1.63610953164766,0.857861601483796,0.7238,2.8,0.170168686027516,1.67209565339971,"73"
"CPI",2011-04-01,1.71,1.1908,4.1,4.2,3.4248,0.6,2.0428,0.100000000000001,0.6752,-0.621981986421103,-0.197267310619904,0.7752,1.4428,-0.0680935097267969,0.736488359361342,2.1723,1.4,2.05541158004832,0.35585850742348,"74"
"CPI",2011-07-01,1.9008,1.0575,3.1,2.7,1.6978,1.2,1.8711,0.4,1.4022,0.732745901811165,0.653364627413973,1.0022,0.6711,0.207718618030227,-0.15810314919547,0.345,2.1,-0.322844781873816,1.01397708041159,"75"
