"meeting_id","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30"
"FEDm_108",0.0190556073404921,0.146982333688307,0.0234388910841225,0.0252991514750438,0.0214923107634678,0.0290985330050971,0.0278986751682452,0.0292740380177014,0.0664024132548394,0.0209532803552318,0.0257219710131774,0.0190771236161213,0.0191782588606446,0.019496095851462,0.024861301088572,0.0258530543834312,0.0189683219609389,0.0232159358614222,0.023617169513006,0.0248082693071992,0.0195111309879466,0.0317521070874326,0.0221120260174307,0.0405667531299808,0.0201355010616139,0.0233698933381906,0.0236922849845465,0.020199517134371,0.0257024526040752,0.138265598045889
"FEDm_109",0.0186648833980933,0.165308970116763,0.0215002474111534,0.0214317694545522,0.0204539627192253,0.0275743707971756,0.0301861351569139,0.0277264457036475,0.0736961498256395,0.0186056786757468,0.0253149411355621,0.0220279832442612,0.0209104197947765,0.0213290104821534,0.0215215021689913,0.0225250085059725,0.0176533210538804,0.0237073323489545,0.0219277393985177,0.0311586936875925,0.0202893386615289,0.0342308852334679,0.0208968608188075,0.038681444675234,0.0224480430087314,0.0232661539083106,0.0197318931491184,0.0217426605541158,0.0247236010121944,0.120764553898918
"FEDm_11",0.0215088357898233,0.156203535064812,0.0183166836728767,0.0202946837502356,0.0194842499683771,0.0352465880194273,0.0218922244201414,0.0296338575412609,0.0524048045131826,0.023839166383503,0.024132835821479,0.0207248057308433,0.0188508938427046,0.0194149063822452,0.0277217591113634,0.0288654253311343,0.0202694479232994,0.0233408557665129,0.028154960758376,0.0256015138817406,0.0192990655254892,0.0271183545853691,0.0200593364945415,0.0380163835829283,0.0203373834417503,0.0231404854460533,0.0208177467886723,0.0173459169919801,0.0307256392046504,0.147237654265227
"FEDm_110",0.0190374577199586,0.15084373532071,0.0230231244697228,0.0251542057662819,0.0216583138792086,0.027970019548892,0.0236322819763144,0.0354132916084478,0.0627851894132444,0.0217823419649293,0.0240597374699286,0.0199830974891952,0.0182102849244224,0.0192808384179627,0.0270845787157402,0.0273952649629904,0.0200436874754866,0.0277431523570984,0.0244547128123598,0.0264770981645815,0.02191621194585,0.033695008018396,0.0229157167506032,0.036047520777612,0.0234689873686186,0.0251358657920445,0.0222552862591973,0.0197886388367919,0.0239767956390629,0.124767554154348
"FEDm_111",0.016294026886006,0.168967710210657,0.0204064932274534,0.0214430422350417,0.0185232395111001,0.0278459726692189,0.0243776724940357,0.0282729630857219,0.0747877109830537,0.0194538018013452,0.0235597108364041,0.0205267300455157,0.0225370264408304,0.0201028652030494,0.0232613600928295,0.0265599107061305,0.0184033721146801,0.0239624285788546,0.0233950007045027,0.0285492911100323,0.0198092225772513,0.0356868826951778,0.0200807950659737,0.0290825125787161,0.0179049860102355,0.0230185463994272,0.0247241995357914,0.0194765838095697,0.0259547926003362,0.133031149791059
"FEDm_112",0.0176419451216917,0.172592803339525,0.0196721867423704,0.0223211647939194,0.0220264658504972,0.0309735095172366,0.0272126983712864,0.0313760367819001,0.0573719604164034,0.0188222977259609,0.0262488696407837,0.0180638000951998,0.0204892441321864,0.019316398070002,0.0226900546292904,0.0259992343653793,0.019409103470582,0.0306638290843678,0.0286872685197713,0.0285380453030516,0.0179786621968093,0.0347288070655067,0.0203710334982169,0.0305135914762453,0.0216412469495526,0.0226990914913891,0.0218693084590036,0.0186144608551139,0.0338449943362276,0.117621887700529
"FEDm_113",0.0178379764490749,0.156852406628065,0.0216484706024102,0.0216752468226117,0.0234071620683179,0.0280639113016196,0.0255752999823111,0.0317394504316395,0.0573856067842956,0.0200673211659123,0.0219953464476404,0.0193089608926524,0.0196942019305437,0.0199308502558678,0.0215953769406965,0.0263926274466165,0.0193813892638252,0.0254654182815851,0.0269998707735518,0.0338571910140581,0.0200238593764619,0.0366773495288471,0.0207974546588358,0.0318132480953855,0.0182289960072421,0.0229145687840551,0.0217814000584342,0.0215471553165556,0.0260675473025445,0.141274335388343
"FEDm_114",0.0191930327841898,0.165014027511347,0.0222086954954833,0.0245723579947029,0.0207398050675134,0.0269572500470216,0.026458223409355,0.0283073222609541,0.055847973112641,0.0210473306396438,0.0223323585273702,0.0194105986632847,0.0202072743936577,0.0195649031492812,0.0265871288000304,0.0267492863144739,0.0193505227493532,0.0245877795820994,0.0214841398708884,0.0302600496901552,0.021271428884726,0.033914244685479,0.0217445747893868,0.0257610401446827,0.0193479483183597,0.0325660750180279,0.0209277498727255,0.0193546238177581,0.0292704335433797,0.134961820862028
"FEDm_115",0.017259692862775,0.160170429637764,0.0203061490248668,0.0247957997052643,0.0194806256938269,0.0299530246071316,0.0271431875398708,0.0322147528214963,0.0551405503344629,0.0211424706711798,0.0218401752709538,0.0198305668058269,0.0192643983349975,0.0192869929957587,0.0231617840397683,0.0262394538339781,0.0171272138787746,0.0253095240418878,0.028050095322215,0.0307884330023948,0.0238719637943488,0.033948252161467,0.0184848717072008,0.030766888978629,0.0168693510523359,0.0214162276360788,0.0205533019047055,0.017988514526487,0.0281653330635385,0.149429974750015
"FEDm_116",0.0154993331046452,0.189338855833586,0.0177654911513515,0.0248702145210475,0.0177609095786301,0.0270938046404544,0.0314833909875283,0.0318144162858661,0.0523543468724754,0.0179179222578525,0.0227251386818203,0.0154574161090699,0.0174032722362896,0.0194055528437747,0.0209438971656748,0.0298492609171268,0.0173772836742102,0.0215587947699048,0.023495596227881,0.0251107693636504,0.0187925431261994,0.0364465174599719,0.0168570138171929,0.0330326265577012,0.0190601213798009,0.029745558234007,0.018292776176113,0.0163775700742578,0.0205195008954519,0.151650105056464
