"topic","term","beta"
14,"agre",4.04544490994031e-07
15,"agre",4.53457979862838e-07
16,"agre",5.13910002024806e-07
17,"agre",2.19777156683959e-05
18,"agre",3.76955077509503e-07
19,"agre",2.04924587751707e-05
20,"agre",4.45818357551673e-07
21,"agre",0.000234809092396229
22,"agre",0.000970775053104664
23,"agre",0.00157067663953923
24,"agre",4.72852140081501e-07
25,"agre",3.92858461739121e-07
26,"agre",5.54558582459534e-07
27,"agre",0.00969715466282258
28,"agre",3.20886571089532e-07
29,"agre",5.66891495833914e-07
30,"agre",0.00428238162332208
1,"agreement",1.01597204818997e-05
2,"agreement",4.98073451888097e-07
3,"agreement",4.40335429917094e-07
4,"agreement",3.45981733548396e-07
5,"agreement",4.32197690681299e-07
6,"agreement",6.04815785208141e-07
7,"agreement",5.38605636184819e-07
8,"agreement",4.19226393152188e-07
9,"agreement",5.76307093302966e-07
10,"agreement",4.66590705699779e-07
11,"agreement",0.000753816106303513
12,"agreement",4.32236921159121e-07
13,"agreement",5.54487858379365e-07
14,"agreement",4.04544490994031e-07
15,"agreement",4.53457979862838e-07
16,"agreement",5.13910002024806e-07
17,"agreement",5.36041845570632e-07
18,"agreement",3.76955077509503e-07
19,"agreement",4.99816067687091e-07
20,"agreement",4.45818357551673e-07
21,"agreement",0.00459554937975477
22,"agreement",5.70738940895313e-06
23,"agreement",4.23248892357649e-07
24,"agreement",4.72852140081501e-07
25,"agreement",3.92858461739121e-07
26,"agreement",5.54558582459534e-07
27,"agreement",0.0149259047848561
28,"agreement",3.20886571089532e-07
29,"agreement",5.66891495833914e-07
30,"agreement",4.82195881468537e-07
1,"agricultur",0.000682636457140977
2,"agricultur",4.98073451888097e-07
3,"agricultur",4.40335429917094e-07
4,"agricultur",3.45981733548396e-07
5,"agricultur",4.32197690681299e-07
6,"agricultur",6.04815785208141e-07
7,"agricultur",5.38605636184819e-07
8,"agricultur",4.19226393152188e-07
9,"agricultur",0.00461679612445006
10,"agricultur",4.66590705699779e-07
11,"agricultur",4.67918129300752e-07
12,"agricultur",4.32236921159121e-07
13,"agricultur",5.54487858379365e-07
14,"agricultur",3.68135486804568e-05
15,"agricultur",4.53457979862838e-07
16,"agricultur",5.13910002024806e-07
17,"agricultur",5.36041845570632e-07
18,"agricultur",3.76955077509503e-07
19,"agricultur",4.99816067687091e-07
20,"agricultur",4.45818357551673e-07
21,"agricultur",0.00160874096375577
22,"agricultur",5.18853582632103e-07
23,"agricultur",4.23248892357649e-07
24,"agricultur",4.72852140081501e-07
25,"agricultur",9.0750304661737e-05
26,"agricultur",5.54558582459534e-07
