"quarter","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent","T24_sent","T25_sent","T26_sent","T27_sent","T28_sent","T29_sent","T30_sent"
"2006-04-01",0.0305053523036016,0.0838874065948311,0.0271925626653294,0.0123065034382383,0.00935769993384122,0.0313469684984382,0.0625887557028633,0.0744984667031871,0.0266309794745837,0.0423540729175227,0.0252471677542808,0.0404436757998042,0.0177559305157709,0.0861764770896384,0.00793021477895421,0.0328527141088012,0.0480523067491456,0.0183964614131398,0.0151569428302766,0.0393322421042602,0.0219091817445826,0.00321705606578136,0.0188427189984638,0.0626608933806135,0.0243124698067718,0.0572148053937665,0.0200455468428335,0.0253049051094818,0.0114724321501432,0.0230070891310535,-0.000621972724300249,-0.00222523885158596,-0.000673058169669883,-0.000382371245248111,-0.000107591176461272,-0.000951279544317002,-0.00201642260585816,-0.00149646633543851,-0.000606931009826345,-0.00109663043399334,-0.000585205084207419,-0.000960581637460562,-0.000477541898779825,-0.00314994588252878,-0.000156916007397589,-0.00103470618249547,-0.00190022320928802,-0.000655781754461423,-0.000395151184158026,-0.00116575077990139,-0.000875828301359723,-8.55889322375461e-05,-0.000559473177226135,-0.00138988034986086,-0.00110046440386642,-0.00223107844945782,-0.000633433887869934,-0.000883866546391739,-0.000390568342913548,-0.000781414449745424
"2006-07-01",0.0209937119344745,0.0762808095140657,0.0173611027127742,0.0116846594123791,0.0102921883346401,0.0212001933781989,0.0664715635496638,0.0755144922940154,0.0325213164422841,0.0546426887893376,0.0329777921804633,0.0496413316907235,0.0279695747230761,0.0773561041680395,0.00918415358401021,0.0401650798640976,0.0560372252703741,0.0150979670599175,0.00965432716183147,0.0406238826374798,0.0189451601314021,0.00389439784105005,0.0133584407457644,0.0542768576297113,0.0153630513046027,0.0657554979871687,0.0167692635115442,0.0233450546638539,0.0110835016971624,0.0315386097858938,-0.000616391733202005,-0.00305439274731864,-0.000636121458367198,-0.000397832284623726,-0.000298736797273053,-0.000813570704883807,-0.00232993276023027,-0.00254642133145329,-0.000857195636385895,-0.00136472956714938,-0.00118875515580607,-0.00129511480845476,-0.00103922373143935,-0.00289790361168575,-0.000203168781738481,-0.00138370037759932,-0.00228577093181383,-0.000519754425629873,-0.000306275319486187,-0.0011663305307141,-0.000602523501726553,-0.000155760575286027,-0.000445820782216859,-0.0017132765204886,-0.000717990360062524,-0.00320743816495483,-0.000516419027200645,-0.000967362752213821,-0.000447485023512381,-0.00134530950418488
"2006-10-01",0.0234070525997075,0.0796906057596904,0.0188520509128186,0.0119724233600284,0.00907732124646547,0.019606063817703,0.0613385362877935,0.0816646432032608,0.0327883399871961,0.0457140917393686,0.0286824018821968,0.044730851199486,0.0223455787657488,0.05796553628432,0.00805243435715988,0.0525501537316035,0.0563493505607372,0.0146117332879898,0.0127403444460802,0.0460509928892303,0.0194238101232567,0.00455792048182005,0.0182791359568329,0.069455718168292,0.0197871461690341,0.0601260676742153,0.0188217188115872,0.0240684105551232,0.0117646012891447,0.0255249644521089,-0.000482054960130425,-0.00237494267798124,-0.000441690928968071,-0.000361117011972154,-0.000327167553243808,-0.000556310595203204,-0.00196515010848764,-0.0021987612585354,-0.000592451160757484,-0.00131406395900378,-0.000713872542337144,-0.000899265141524603,-0.000687875237864096,-0.00215267870540519,-0.000191659708738683,-0.00169784436262068,-0.00197411547676885,-0.000504281726592693,-0.000444695722212021,-0.00146427832659425,-0.000631225007704,-0.000153664714762074,-0.000398682069728386,-0.00187665788204008,-0.000820739067466842,-0.00221599366561508,-0.000682258578671207,-0.000799479976384475,-0.000398489125442932,-0.000971592595212641
"2007-01-01",0.032592420258945,0.0767340490686513,0.0244994238999965,0.00840897601463809,0.0116465488082654,0.0227009663104588,0.0664652705848476,0.0726515713819789,0.0267469500434316,0.043661276717184,0.0276061105830452,0.0452331647883013,0.0448059525713501,0.0596583244442234,0.00717116724932139,0.0408285760123942,0.0536292474291377,0.015968336118841,0.00849859817813034,0.0410989136018842,0.0304342855019763,0.00489243254865636,0.0145467936137372,0.0540833837798079,0.0275808759201873,0.0532681785263235,0.0171434731599769,0.0344200414089513,0.0119254452869782,0.0210992461883791,-0.00075826607389496,-0.00273665186288234,-0.00061589383610099,-0.000349285094971246,-0.000362561906210445,-0.000714190253415398,-0.00271485842633462,-0.00212803657636227,-0.000790473622771481,-0.00132263088525787,-0.000896025028969567,-0.00110548373398945,-0.00189736795443,-0.00226428996393073,-0.000139032426750983,-0.00139101940595081,-0.00193003038147386,-0.000621899300724686,-0.000205821026918606,-0.00113550480633986,-0.00125374593469434,-0.000174906617699939,-0.000489436097116129,-0.00152542922698508,-0.00135620718443052,-0.00254256110784794,-0.000505670962698087,-0.00121969010215337,-0.000475394292905917,-0.000859848604736025
"2007-04-01",0.023749895642658,0.0747765759625528,0.0182849690659379,0.013056376145229,0.0133062091493704,0.0186928288967976,0.0478494901362734,0.0970546365121893,0.0254925333561978,0.0421596915092815,0.0272816828619239,0.0459550183140111,0.0381183387969157,0.0648725916488831,0.00816994587151278,0.0345848432791011,0.0484497188671153,0.0206893545730304,0.0129789073819311,0.0526137461805777,0.0276209168374129,0.00414743954342021,0.0186122169228613,0.0582902114511541,0.0209358423598242,0.0542605189302474,0.015554554117219,0.0377087813020653,0.00901311294272249,0.0257190514415833,-0.000657397118865554,-0.00192509520255115,-0.000487389124328928,-0.000479448734577459,-0.000267310376680287,-0.000599103864288224,-0.00176597525433074,-0.0024202931881582,-0.000640115401933002,-0.00137300664985628,-0.000644891940652108,-0.00108148311598293,-0.00153659600256241,-0.00229027475085981,-0.000261280882289949,-0.00106949051474255,-0.00170004435672552,-0.000674683624610503,-0.000319450885068815,-0.00133099944577741,-0.0010272380764805,-0.000148735783450441,-0.000553494648285174,-0.00153629451444533,-0.000892636573694243,-0.00246155501042621,-0.000507886220380015,-0.00113665970269536,-0.000300638715478879,-0.000927358226092731
"2007-07-01",0.0343509428076178,0.0771533344883706,0.0208858385190963,0.00857691413146264,0.0105190233456448,0.0167196253355496,0.0711879880183952,0.0703561650996081,0.0237162106610445,0.0304920504458939,0.0355050930257525,0.0438278111835976,0.0737777574211242,0.0770455605427984,0.00536964896094444,0.0252219882097802,0.044094502334897,0.0414210262887956,0.00999761459545686,0.0391969675788148,0.0286165544504888,0.00382174357577478,0.0201039467893363,0.0515779778995498,0.0192899529571338,0.0404761346928032,0.0190082563996807,0.0264125791990583,0.0125835963410196,0.0186931947005095,-0.00120264204695096,-0.00297010350728319,-0.000658546024599456,-0.000232400182003555,-0.000373393441213958,-0.000582490850087429,-0.0033179048740819,-0.0021675904299914,-0.000567350910636498,-0.000946428630997564,-0.00142759679340967,-0.00115359234118822,-0.00371728805843887,-0.00385438334664679,-0.0002152356888156,-0.000775054348649229,-0.00200761315851981,-0.00206010162123987,-0.000489496354746948,-0.00126246109878594,-0.00116317286071415,-0.000182160703032448,-0.000746242020745801,-0.00139695106403307,-0.00098631940931281,-0.0019795945956723,-0.00067715930640023,-0.00110948210858644,-0.000537530265009884,-0.000804613434284702
"2007-10-01",0.0365679055857299,0.0777292457674157,0.0217174464416259,0.00961985297136938,0.0105927894584086,0.0260245679266537,0.0820242990392485,0.0600895054903368,0.0162818857884524,0.035070697432127,0.0376940572670462,0.0319779459446661,0.0662525764914073,0.0654000191169801,0.00642392732295935,0.0364256548850001,0.0505595691328525,0.0373815698828098,0.0112974562813026,0.0401068034592365,0.0260970283195666,0.00419148162126817,0.0148677689995614,0.054243141578205,0.0181553884130782,0.0532397583116198,0.0171770324761405,0.0212286446132247,0.0139723582603841,0.0175896217213232,-0.00140410927422315,-0.00339724749484415,-0.000707877157188718,-0.000369236036570419,-0.000476511232299088,-0.00102336385035991,-0.00389325380063477,-0.00220674415365683,-0.000377876690563299,-0.00086343745749152,-0.00159228724016941,-0.000829504206913671,-0.00357859022710747,-0.00364379092639203,-0.000239768991870474,-0.0011090155338407,-0.00195123199357391,-0.00219334986943548,-0.000413541493600031,-0.00120728331476931,-0.00117939886019967,-0.000155633253070668,-0.000657943906051951,-0.00156461567518465,-0.000928767159902387,-0.00226951986132531,-0.000652602510969985,-0.000705854915667549,-0.000706802403286183,-0.000749648516087482
"2008-01-01",0.0307740047325167,0.0821098628973359,0.0196655268608179,0.00717368496342193,0.00745033859993956,0.0242983720656811,0.0965085482900124,0.0622632096825677,0.016819619437106,0.0242116158409455,0.0419501292415323,0.0294530001752015,0.0484016800333481,0.0643033918471463,0.00570654717235855,0.0220740586699679,0.042239887601148,0.0390264409106008,0.0104386528242136,0.0403507268589561,0.0378052656846416,0.00407969687442873,0.0134833458069091,0.0576487043783354,0.0443941111672064,0.0563321320931227,0.0162943185610505,0.0232607258549469,0.0117865153368405,0.0196958855377003,-0.00129723368601524,-0.00341509126277385,-0.000768831837331278,-0.000190610044662567,-0.000317119984951933,-0.00102373545962259,-0.00501670332867297,-0.00225775655667465,-0.000641585476318396,-0.000957261382236381,-0.0015954036539624,-0.00106270505383718,-0.00263287715754134,-0.00372672205484855,-0.000237888236863028,-0.00086989438447657,-0.00182523350696319,-0.00228177981025164,-0.000501232402446204,-0.00141310822345855,-0.00174299006198093,-0.000197109667670363,-0.000645013878082362,-0.00184464765545616,-0.00245983500273441,-0.00240566689458885,-0.000669284526480124,-0.00115651222578547,-0.000607211109247316,-0.00120001837795511
"2008-04-01",0.0296635700672379,0.0655069102521181,0.0235300078601871,0.0104729987127999,0.00643536859698121,0.0365323233701729,0.080966066610255,0.056147921997125,0.0198464503564237,0.0403903529057413,0.0364454217949566,0.0286874556358579,0.0481562950658172,0.0560512402186839,0.00481934869387569,0.0277263109604392,0.0525979904853593,0.0376205559811815,0.0133922095845108,0.0418029548038676,0.0295315462844015,0.00487227231864105,0.0146569289306929,0.0747359798351058,0.0254590065490159,0.0624043479477021,0.0131349668696674,0.0220515636257063,0.0116866082034305,0.0246750254820451,-0.00106809223128321,-0.00288694467260434,-0.000860630196047392,-0.000368679230101714,-0.000269160941193567,-0.00151738530717558,-0.00361717660744415,-0.00213310972161301,-0.000535682093835291,-0.00129294863314436,-0.00134481649385082,-0.000962658689729466,-0.00250770264598754,-0.00264783943822864,-0.00021626133771294,-0.00110308629165506,-0.00227980669904952,-0.0019514115360572,-0.000540340712220562,-0.00142686627308983,-0.00146876615932952,-0.000192082442104395,-0.000573620805092198,-0.00240713843950681,-0.00138797450686685,-0.00293553234464481,-0.00051289365783749,-0.000956430226750572,-0.000548642966907858,-0.00128255233501244
"2008-07-01",0.0320793655258103,0.0617123564183229,0.0239283460046126,0.0106509999776722,0.00952361663386428,0.0293843029744745,0.0912579854979874,0.0717894634631457,0.0259016156002774,0.0308161272611521,0.0347660472273727,0.0322762339395374,0.0552536374470674,0.0448520289497405,0.00510357798867503,0.030511424476302,0.0473843808546669,0.0473155900520108,0.0138953867682695,0.0405370884997654,0.0231423078577266,0.00531230607488825,0.0148308787974967,0.0646010451468024,0.026542902050631,0.0589494352066485,0.0120098539894353,0.0250281102380813,0.0107342276671583,0.0199093574104047,-0.00130645119338873,-0.00270605613155274,-0.000927685182114792,-0.000505147319771699,-0.000278178248881653,-0.00133509247028914,-0.00458710308742926,-0.00281183447577062,-0.000716695380695912,-0.000978247580775938,-0.00137234530399312,-0.000896786671151309,-0.0028502838891256,-0.00241028648946738,-0.00025031160564412,-0.00125155989754301,-0.00223766543664632,-0.00259707816540796,-0.000708441441073516,-0.00138004718045659,-0.00113023302208081,-0.000219847389798347,-0.000635860175480162,-0.00197012005934576,-0.00137837329114503,-0.00280138695133653,-0.000555797001461995,-0.00110445473800948,-0.000531767353457107,-0.00100916941105408
"2008-10-01",0.0357195278269806,0.0491726775020835,0.0319950014100411,0.00498715783945402,0.0059537625888892,0.0182773820220329,0.102809539155494,0.0460422361826347,0.020036012384444,0.0239301835835936,0.0371707897514285,0.0334458542884332,0.0453120634625382,0.0319622830539375,0.00366598856444613,0.0347078674080974,0.0456741905530854,0.0599957886579925,0.019675864542081,0.0374950329446616,0.0256312611284477,0.00462408379223454,0.0119454872874834,0.0909363919871209,0.0458187937585837,0.0578510124132935,0.0142917681681014,0.0289295293952821,0.0105656732455259,0.021376795101577,-0.00157265713582893,-0.00231251193367364,-0.00155066541257728,-0.000220719363806,-0.000273108320938767,-0.000951587468335141,-0.00508881530467312,-0.00253653566267862,-0.000767044053328987,-0.0009784193092837,-0.00154122917549787,-0.000950839259590815,-0.00240184154567614,-0.00177609604497315,-0.000169179111094348,-0.00174684740633678,-0.00194609410938865,-0.00344868574098192,-0.000971326087530461,-0.00164470362554047,-0.0013292639301653,-0.000203786253017051,-0.000517301356888177,-0.0028974753104096,-0.0028360706465739,-0.00259514869225425,-0.000765081027220394,-0.00130526171824033,-0.000538254857966631,-0.0012646071090854
"2009-01-01",0.0308233986125267,0.0445786392204968,0.0328849521801837,0.00356577693873446,0.00505412563090737,0.0174636244782512,0.101559139510382,0.0450907951463057,0.0225348107769344,0.0255749477141596,0.0332173495239802,0.0414654481315245,0.0316815504805075,0.0211301483414415,0.00365870147969588,0.0283712549680803,0.0494404686198049,0.0443034282231488,0.0181887088097177,0.0415543067032802,0.038613512380597,0.00466280805402273,0.00977007497258651,0.109582857038441,0.0588454161527832,0.0490363257539188,0.0140426138626043,0.0363979819458362,0.00743740303184669,0.0294694313173002,-0.00125673855899107,-0.00223010755877564,-0.00138862351036932,-0.000176225822312931,-0.000241634062839198,-0.000832847108618621,-0.00478521470245122,-0.00269244977297452,-0.000733516907950943,-0.00100536234787314,-0.00130070685117551,-0.00118881312787514,-0.0016739507392007,-0.00102645633018311,-0.000160598341557003,-0.00142609036872785,-0.00235019606558519,-0.00247723208153891,-0.000978474349957863,-0.00166497147913239,-0.00194322146136228,-0.000172638415388283,-0.000381997712550801,-0.00334681663818948,-0.00332909934448682,-0.0022276513422024,-0.000814979393782474,-0.00183995135359686,-0.000342462657041468,-0.00180741275098305
"2009-04-01",0.0278972120573179,0.0559732147686751,0.0290753336247633,0.00484930277704936,0.00589056182731968,0.017935033397507,0.0890821170595876,0.0547484538991573,0.0253439284554752,0.0314522082834325,0.0347825568629297,0.0440325468112551,0.0400941644933918,0.0268784019780937,0.00369153789281737,0.0291375158804159,0.0503382219795791,0.0477851287932523,0.0165383519720096,0.0352895740995373,0.0260381759069616,0.00566815899326181,0.0130695532363451,0.111717106391265,0.0395222471743813,0.0456151827613316,0.013002323581959,0.0357085148178597,0.00838971097999945,0.0304536592430681,-0.00104836839345508,-0.00246153009220706,-0.00113895281177038,-0.000228001722038306,-0.000259599541889661,-0.000735170853818405,-0.00380012345693525,-0.00267797024421487,-0.000784126694153624,-0.00123371831729471,-0.00111436873100082,-0.00127533193493752,-0.00191300982984566,-0.00127905565737675,-0.000167464440930043,-0.00119285599495989,-0.00212664650561417,-0.00251155071633259,-0.000924522568865687,-0.00126575388714126,-0.00119459582447393,-0.00021248232419175,-0.000584554742674045,-0.00310178098003711,-0.00222423631001688,-0.00199803242549484,-0.000597943612703792,-0.00168103826875507,-0.000387652203271616,-0.00183902807698426
