"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","pre_meet_T16","pre_meet_T17","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","post_meet_T16","post_meet_T17","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","pre_pub_T16","pre_pub_T17","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15","post_pub_T16","post_pub_T17"
"FEDm_11",0.0814469347838021,0.0300839694654598,0.0324338307449786,0.0497672248183009,0.047763242064659,0.0819666684117309,0.0800413916835417,0.0607357244392043,0.0636063728622335,0.0772337613704581,0.0357770398250391,0.0608864110281365,0.0474228749730813,0.059194099890941,0.0610593706226224,0.0677467941732366,0.0628342888425743,0.0679171795507334,0.0300577107886863,0.0283000893660878,0.0489620015970054,0.0430383849889194,0.0821185249794792,0.0768483808133274,0.0896151568880003,0.0739297777402419,0.0736125241602372,0.0307047787910852,0.0772411194841803,0.0455060125252477,0.0609094033537799,0.0418815932867063,0.0653874505444985,0.0639699111417839,0.0609312103386643,0.0382631154239964,0.0302728110420677,0.0496101915587239,0.0387697560136642,0.0774708114862753,0.0966945000380086,0.0512575399829903,0.0710495697784253,0.0960774490908918,0.0376391343030068,0.07618646063404,0.0370888943845777,0.0808437908509195,0.0404244583447352,0.0593087782165788,0.0581115285124343,0.0596419351435521,0.0352571842800139,0.0297003557879303,0.0510451856794059,0.0450419572578909,0.0569619568608117,0.0671096187037442,0.0982994550671671,0.0603525242594787,0.0984337261512172,0.0340528223087063,0.0863999832205623,0.0337164050139025,0.0552092012355258,0.0605277983021554,0.0612385575975771,0.0670113331303587
"FEDm_12",0.0607359575725291,0.0320638523739219,0.0278973660713754,0.0493819662816422,0.0357221764954702,0.0806744357474266,0.0961988459272094,0.0564646718454902,0.0642958505497056,0.103072221442917,0.0397706825732096,0.0774067867284086,0.0315209344847558,0.0791513555420775,0.042636137597422,0.055440267022549,0.0675664917438902,0.0488897928481921,0.0392567388710102,0.0284422406431277,0.0555692538457649,0.0326055591285607,0.0560821115233522,0.0701315132754635,0.0917398817267922,0.0633987436671045,0.112980994833255,0.0332724610188893,0.0861823831354824,0.0351189948942254,0.0647504151162571,0.0554174687277072,0.0585330668655884,0.0676283798792277,0.0702132204617101,0.0314409345885464,0.0324063744309292,0.060564173425816,0.0577653477070758,0.0679014505006969,0.0961072304625458,0.0514095582153302,0.0796510776300524,0.0686783163496779,0.034978630729876,0.0654573093199492,0.0441729037938253,0.0623817640346955,0.0496512177654081,0.0571269574214439,0.0700935331624213,0.0595280756124151,0.0298981396334435,0.0309638251622149,0.0493049212224509,0.0384833545525652,0.0614059956110066,0.0835642123904321,0.0861386237504685,0.0600091445513528,0.100123079897571,0.0307755079031014,0.0988678447206328,0.0419157712695118,0.0615077383315879,0.0476450903121996,0.0603711667779332,0.0594975083011127
"FEDm_13",0.0675939959536766,0.0328044218583811,0.030403141331982,0.041094720908475,0.0594878258671524,0.0826368338980069,0.103924270017522,0.0489643426277698,0.0677724802538186,0.0772771511104308,0.0428860986235204,0.0619739478401572,0.0409201271248519,0.0645502520679361,0.0409785720967269,0.0555188679139592,0.0812129505056326,0.0660913073826572,0.032388967821058,0.0317220074375304,0.0559611642926165,0.0403838846230551,0.0659990432529227,0.0949954022378142,0.070378755350007,0.069219203964514,0.0877538775262302,0.0311897600832615,0.0752268762375462,0.0412874382153644,0.0608167303254714,0.056170008805366,0.0638174538600382,0.056598118584547,0.0600750049850073,0.0368318380617455,0.0304674233314815,0.0507140365722018,0.0424533336867755,0.0886120616819013,0.0671172227801191,0.0684863125748678,0.0692002393868377,0.085550776810672,0.0333101172911791,0.0763234590699035,0.0389289362358113,0.0534817698487959,0.0630685466605543,0.0699868961331526,0.0653920248889935,0.0661097937492664,0.0307268304134158,0.0276766953938124,0.0512513305279682,0.0409724267653675,0.0659230581637615,0.0865899131925207,0.0716484747539203,0.049771363292443,0.0995961257593694,0.0449729595969119,0.0764819961379504,0.0389646322519132,0.0587983895560489,0.052186044483213,0.0617993045747864,0.0765306613873309
"FEDm_14",0.067405141948688,0.0346867496388533,0.0300514294486168,0.0508194246420979,0.0389429144633845,0.0783112836460131,0.0736903406118991,0.0715403185788066,0.0640534242722216,0.0954821529793573,0.0314869287842868,0.0680418667027502,0.0418108829377315,0.0593162247826851,0.0564576053632285,0.0705932729607462,0.0673100382386336,0.0563731833993819,0.0345928531229192,0.0274415875513165,0.0426206288104887,0.039590716485383,0.0771484942611614,0.0729560677274411,0.0689043886362902,0.0617722180336698,0.0834162274194126,0.0386634454361328,0.0857945174230888,0.037505883959608,0.064651358264817,0.0714832855983087,0.0651403352794606,0.0719448085911197,0.0607737822358212,0.0360849624665729,0.0300150385638788,0.0531926112415815,0.0423378604010088,0.0694016315805042,0.0740961813944661,0.0704497203660101,0.0622549772463709,0.114082781196307,0.0305436556896868,0.0674343027199497,0.0348350872615795,0.0737500415896888,0.0547227272442993,0.072828567502739,0.0531960712995356,0.0597999753720952,0.0330622876463137,0.0303574239902915,0.0503956637437662,0.0455214809544722,0.0886200054525495,0.0862505270472836,0.0612557363676849,0.0653842650762611,0.0944164243880648,0.0310530618532827,0.0874530787228722,0.050238790286868,0.0494472068870698,0.0512098900600053,0.0697391358304483,0.0457950463206711
"FEDm_15",0.0645897757242713,0.030533216831677,0.0288819579921093,0.0560376568200616,0.0481132821253275,0.0753470383293116,0.0733258508420141,0.0811164006778752,0.0385720801087468,0.116928227686928,0.0328780252284854,0.0740879069121298,0.0413988240498586,0.06312761990074,0.0532594029395142,0.0659200450049515,0.055882688825998,0.0551314401201029,0.0381995582847135,0.033495091068213,0.0563209077271123,0.0451571932047092,0.0746835320380977,0.0801505945021595,0.0597957578254981,0.0790598197365936,0.0831913349817915,0.0334225746360809,0.0832007510489476,0.0463621519614937,0.0562599599056428,0.0527204137971854,0.0661223915624961,0.0567265275991623,0.0713873683800577,0.0310433025324009,0.0246086952332754,0.0493686197953405,0.0334100635623695,0.0809078022152466,0.072697853265363,0.0908643334131001,0.0475647857000063,0.0743232301383749,0.0293394239131412,0.0755937678421555,0.0391434394646053,0.0540119234720208,0.0915701204011123,0.0750759019701595,0.0590893687012706,0.0615636866711903,0.0307066738813569,0.0291107581880412,0.0466292755351808,0.0306679277700185,0.0864687347314888,0.0712594629979189,0.0633002678750042,0.0561107493605656,0.0698488621879418,0.0394509709101231,0.0729225039293789,0.0423893871694741,0.106013626531155,0.0540521762824278,0.0585629016426005,0.0809420343361333
"FEDm_16",0.0645337744240903,0.0308394646100049,0.0275079996484635,0.0491686222491677,0.0430820718643424,0.0885627674925633,0.0777581129906468,0.084605952922489,0.045855563101216,0.0769158275418536,0.031835077264715,0.0692335262220417,0.0471703871879258,0.039954294061375,0.0819200687553777,0.0753066700966598,0.0657498195670676,0.0636310038047967,0.0291632026843518,0.0271921111215739,0.0472224276764119,0.030118432259808,0.0894988130452933,0.0801560855423559,0.0541655265153849,0.0580861780571094,0.0778728271754579,0.0357282527066323,0.0727544306170489,0.0461537344380489,0.102613159439603,0.0580177778738025,0.0585324038931348,0.0690936331491863,0.0636917039633416,0.0328469341346172,0.0266596310624574,0.0456405391965844,0.0332869820945046,0.0553009299208944,0.0731787018588525,0.0641516071971849,0.0662336191043542,0.0825387432499231,0.0361096547945784,0.0890176841081677,0.0546174249434012,0.0767663346153097,0.0677752891050425,0.067482305982108,0.0647019146686782,0.0643694784151851,0.0288044300370969,0.0284775088912862,0.0569837700077692,0.0388866926112023,0.0801734643132816,0.0744182337544219,0.0653455631122995,0.058557711954951,0.0903112324444328,0.0317436625262995,0.0808473970500232,0.0436542566226978,0.0685710686071768,0.061565985581981,0.0620219885765754,0.0652675554933199
"FEDm_17",0.0778587188611803,0.0324705457261628,0.0288976291878607,0.0458169409585362,0.0320016273074219,0.0599859617663952,0.081499854103268,0.0600831110349943,0.0689018788967494,0.0692823993663362,0.04196987720933,0.0820756667647227,0.0484626436345833,0.0665550429454556,0.0669293356216944,0.0633119246134219,0.0738968420018873,0.0625339159209552,0.031787727467299,0.0271266992168482,0.0517971596867831,0.0366822178716862,0.0745901132572434,0.0758668379778152,0.062454502386907,0.0624884659765175,0.0847587831769806,0.0327063330036784,0.0773051086675945,0.0518301602412803,0.0690396378987037,0.0646505007847099,0.0669396105749159,0.067442225890082,0.071985885363151,0.0302933904035226,0.0294611558907867,0.0494236594002943,0.0330439567975094,0.0577548990171943,0.0786419178250151,0.0865663095819723,0.054443630883245,0.0666710097455336,0.0357067349354375,0.0764741851576348,0.046378129411944,0.0491970742042074,0.0717193218234925,0.0809329839227925,0.081305755636267,0.081283888516692,0.031412852902335,0.0275489186133285,0.0382901881290474,0.0332604592849238,0.0695742737699787,0.0798971622922695,0.0804174531814488,0.0563458025313675,0.0753766183696929,0.0496886628308117,0.0681652462767521,0.0471982080030856,0.0691439747572555,0.0538346716490803,0.0641216247313896,0.0744399941605411
"FEDm_18",0.0786566806237835,0.0289043243653249,0.027836920079939,0.0470889232421155,0.0393854329612754,0.0917959906838728,0.0864867816508995,0.0707021060340636,0.0393503499419499,0.0550908896788671,0.034045537539052,0.0786941994794772,0.0588554202447402,0.0665756248781086,0.0544172429551965,0.0712159550327877,0.0708976206085467,0.0655207011897002,0.0320942555240864,0.0281047346520466,0.0545332237101517,0.0315627631648651,0.0526291818421851,0.0843609247200762,0.0851113358313344,0.0617297131775578,0.0745741979207786,0.0371485133527235,0.068615182616719,0.0481860129295708,0.0668191598044758,0.0641627125326704,0.0707708122004604,0.0740765748305979,0.064648927758079,0.0311300224878299,0.0316886004745477,0.0488616196284718,0.0320498881428875,0.0772035508860164,0.0710808986733834,0.0611718362927399,0.0549189402794461,0.0773760282054681,0.0298614830907137,0.0882461100706504,0.0458752960284958,0.0666572637041384,0.0855169864743301,0.0696258100676021,0.0640867377351997,0.0765371788998526,0.0313558022907712,0.0277843670152983,0.0555546782138458,0.0310306087863599,0.0463057430507111,0.0757353513532462,0.0951275807096669,0.0503531080708045,0.0652656268570242,0.0386762342121125,0.0865676212420231,0.0301963561572688,0.0871608058500146,0.0580487158841577,0.0711527413478675,0.0731474800589749
"FEDm_19",0.0748129323292364,0.0274976306976249,0.0289973071265752,0.0500597848016721,0.0322426918898483,0.0743731586736559,0.0862924710609856,0.0614495496004194,0.0517152707019522,0.0774979281930948,0.0320069836697494,0.0816685666915269,0.0497352296146232,0.0694526216518969,0.071324992279534,0.0632267251712166,0.0676461558463883,0.068232197539696,0.0342901215873865,0.0303244945711735,0.0457609087828091,0.0292613019973479,0.0584093493535711,0.0774889347287912,0.0806672099190545,0.0534860111291342,0.0642057751297655,0.0318090503280652,0.0824059112801901,0.0372083063372909,0.0874945938314013,0.0788367364411913,0.0686272266976158,0.0714918703455159,0.0591414699751625,0.0365081560787984,0.0252831593889382,0.0583963863407726,0.0281897797303346,0.0545371209384159,0.0821010510538823,0.0419194357554417,0.0727270280470955,0.115464076805944,0.0346664172474213,0.077565040400984,0.0454441140707861,0.0790725273019757,0.05345289573829,0.0637709120264806,0.0717604290992762,0.0654472876491635,0.0296388863437356,0.0271940893487739,0.0382672722317709,0.0317926298219499,0.0788509534280497,0.107821389761548,0.0682989356032184,0.0787380325871705,0.0744321229428889,0.0313841319526952,0.0825225153981148,0.041340963966843,0.0769802509192372,0.043245265488943,0.0588333709261231,0.0652119016297748
"FEDm_20",0.0587709992148623,0.036458553697091,0.026151955822119,0.05350954508174,0.030348116386021,0.0532442049735677,0.0852429581446554,0.0434460104818269,0.0687096470396507,0.107639574494381,0.0351262756681194,0.0735433249301128,0.0446399347516515,0.0728020757903651,0.0589834007852061,0.0675554113681055,0.0838280113705249,0.0639150186358532,0.0310784577352811,0.0270309725790005,0.039392080443819,0.0329699595438625,0.0676648728039382,0.0972776295775794,0.0701741340858907,0.0900795854111344,0.0722383669574954,0.0312771688459787,0.0787607979882159,0.0473312042696145,0.0784444051494427,0.0463099353463856,0.0596684834658896,0.0663869271606185,0.058104859893482,0.0381879950937505,0.0298013225845527,0.0671190664547478,0.0352137496793995,0.0669097494652538,0.0691938371872228,0.107686176760144,0.0542656071297614,0.0519131342135655,0.0290667625233997,0.0819355992826969,0.0534662717919367,0.0733550610966049,0.0418439384899646,0.0728882728454928,0.0690485955080242,0.0654058683472695,0.033712438162515,0.0283198044820364,0.0533871318417971,0.0325465605798366,0.0628343065350519,0.0848379841430023,0.0703799607012622,0.0528472698052929,0.0599849320577816,0.0388060111505459,0.0746715516855254,0.0486272624282477,0.0765240893238861,0.054086950459604,0.0660915434577332,0.0969363348386123
