"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15"
"FEDm_11",0.0886688638452813,0.101367387538874,0.0742789911561243,0.0329647419667526,0.0829541305079013,0.0723687763073538,0.0370991530233783,0.0700484258326039,0.0849071158576009,0.0538144220083165,0.0563067579857368,0.0659942914034163,0.0599380850776586,0.0686067588803854,0.0506820986086162,0.0730056434247226,0.0903970519505898,0.0554007658038322,0.0304980995153671,0.0774905925174677,0.102080182030261,0.0328686512838341,0.0793050063816009,0.0855182305586305,0.0486296249693456,0.0441136406448009,0.0691546164825818,0.0735220519626379,0.0877816920194094,0.0502341504549182,0.0661525061078799,0.101950743863895,0.0491205137668651,0.0381223313701287,0.0667032539429513,0.06489052732871,0.0393767089214441,0.0747321525652323,0.104178981387454,0.0489534017885964,0.0522961437263196,0.0713932791282788,0.0924914023485549,0.0802420429202282,0.0493960108334621,0.0650823721423108,0.0867110269756099,0.068323901449948,0.0355939262430974,0.0643949743502284,0.111502517698005,0.036521542228513,0.0677551344408766,0.110494974202765,0.0552213275603202,0.0517687503092465,0.0454573228078566,0.0550700383713753,0.0905010434885719,0.0556011477312756
"FEDm_12",0.0647235228217512,0.11012212505617,0.0534610423812496,0.0336548813221658,0.0668089207806341,0.064872113935066,0.042493953624587,0.0677170511171145,0.107224713301184,0.0448454767415139,0.0466729072348885,0.0685842888733246,0.0941392013945671,0.0827979686431876,0.051881832772596,0.0535703933654283,0.0832727991416824,0.0655631046380437,0.0382216755577937,0.0636680102877135,0.104047931169841,0.0352587241466066,0.0727359939200408,0.121076599396877,0.0415931489044988,0.0591464459874411,0.0475536530450571,0.0629517192186696,0.0863571152823936,0.0649826859379134,0.0778867362362166,0.111258431120164,0.0591311860497646,0.035277752199432,0.0742870991102721,0.0619315014196218,0.0388736266239364,0.0857620904134556,0.0816228287191587,0.0662671842157918,0.0463452158787029,0.0641004500892808,0.0694167159721862,0.0695656769768062,0.0582735049752106,0.06465138594269,0.0923645578297662,0.0528915391932178,0.0349600809610527,0.0618765634784997,0.0951550157248572,0.0380333231685051,0.0643379083291144,0.105103910140735,0.0454071226506296,0.0465149485484231,0.0580857641776945,0.0765044200863363,0.1130187006108,0.0510947591576777
"FEDm_13",0.0763916723484025,0.127122470362655,0.0465535407925489,0.0347547976460353,0.0856684472450795,0.050181884414109,0.0456201447727915,0.0720628338684415,0.0855263310785693,0.0700785698272048,0.0561066441860909,0.0617998100698215,0.0676825517239741,0.069500901616635,0.0509494000476407,0.074911728120365,0.103431118884793,0.0664072769152133,0.0341625433929615,0.0709001723405907,0.083062962527116,0.0345287096290098,0.0776007185154644,0.097932760258534,0.0479558922108064,0.0480076140599503,0.0542991110697072,0.0716446541833485,0.0846518394479049,0.0505028984442351,0.0658273388683123,0.0844667908983259,0.071935273964285,0.0380791660399826,0.0725149214805128,0.0811366750216897,0.0385342256660822,0.0768053808976876,0.0978346253738,0.0483947010502473,0.0487559802946928,0.0736459776457984,0.0617046902063604,0.0815655419819052,0.058798710610318,0.0759860567084751,0.113235392196857,0.0608775235797488,0.0323516621437951,0.0629374000556233,0.0828427209739878,0.0486001490112372,0.0536787783446688,0.101065416800527,0.0476274932623998,0.0440230090553202,0.0598934430718056,0.0739196457929753,0.0846260599562373,0.0583352490463422
"FEDm_14",0.0731091381245941,0.089079056630311,0.069319424146946,0.0375937879496416,0.0761279374163631,0.0823762832631435,0.0393121017084943,0.071777994950319,0.104580309908399,0.0441469583479639,0.050564599899955,0.0573213934086657,0.0690289482822397,0.0733428198156475,0.0623192461473163,0.0633512635873462,0.0996924507558161,0.0789973476197382,0.0346221540147148,0.0636015852275576,0.0818838090700804,0.0405839746094608,0.068178182937635,0.0890605070208408,0.0466129302140674,0.0474260710125448,0.0719102888563254,0.0733774523626971,0.0924753650128578,0.0482266176983176,0.0700721030812358,0.0803251714563153,0.0676899263867285,0.0379091233667383,0.0665904667972859,0.0767848189803511,0.0366683106979353,0.0706210711474162,0.136328048444357,0.0481586218698218,0.0447979984687781,0.0552827170349831,0.0838346697808209,0.0754299644627866,0.0495069880244463,0.0689016505614277,0.0945042653326992,0.0653387902148155,0.0371425238784718,0.0816575238900363,0.0692591120396159,0.0317754014938835,0.0693355491426554,0.102821282231631,0.0478638131990229,0.0494529619954788,0.075982735876196,0.0579877240371697,0.0976266635503345,0.0503500025565614
"FEDm_15",0.0723620333340058,0.0864572666715494,0.0636656372394401,0.0326126701700568,0.0715914843504791,0.0890446216754976,0.0360205075953033,0.0484136699138023,0.131195996459513,0.0506701331210028,0.0493571515121748,0.0575593847973018,0.0756720618330393,0.081939829297107,0.0534375520297268,0.0648824317799727,0.0918041031600597,0.0662147370176956,0.041043638665731,0.0716329484396904,0.0690874856027427,0.0355640808733228,0.0851751263477192,0.0984086132063638,0.0495341037593908,0.0448043812049027,0.0664930725494091,0.0650239434406836,0.0910587724174091,0.059272561534907,0.0840319234199999,0.0850750195901651,0.101964267387446,0.0303389698701591,0.0813231226483692,0.105579712318476,0.0313899917308889,0.0526968319920215,0.0897693399841867,0.037632101977711,0.0421455722996052,0.0637810676951321,0.0586349505808936,0.0842739708592287,0.0513631576457169,0.0675620209872816,0.102189262221415,0.0617509786182237,0.0346985315253481,0.0719464818325627,0.069936762341802,0.044613757450696,0.062166960631854,0.084741240961898,0.0369087703494751,0.0396111206013293,0.0734041598457468,0.118666449726198,0.0802088083611189,0.0515946945450502
"FEDm_16",0.0780403582792416,0.0913984091939176,0.0912687459236918,0.0298639619193078,0.087452645028258,0.0996049590695875,0.0343016809365658,0.0532040568002311,0.0972429421119328,0.047900502151858,0.0390047603254741,0.0738899010451023,0.0447710085298412,0.0779200701217538,0.0541359985632367,0.0714213087450702,0.100957982348173,0.0673524073480187,0.0320547116212653,0.0765733644556119,0.0610250082259252,0.040480311455102,0.0617517962168491,0.0878141672720661,0.0351302605258397,0.0454215586498411,0.0768875300440551,0.110920845600625,0.0806339511430769,0.0515747963484809,0.0716838438987511,0.0943536605800869,0.0760173777511774,0.0314549624500418,0.0575385407795272,0.0735491743549331,0.0393530681008108,0.0727713405728307,0.0953692659739007,0.0362530432281783,0.0498444262580546,0.0711394151439056,0.0856923270290028,0.0984436119519171,0.046535941926882,0.074007808348693,0.0840792914625247,0.0744744727187493,0.030444956604598,0.072664764110283,0.0721082137112675,0.0363630690642772,0.0665747297969325,0.0972275013757148,0.0443237934487636,0.0558004793878811,0.0666356611931327,0.0697337809695795,0.087271741123791,0.0682897366838121
"FEDm_17",0.0858934642876739,0.108093535834427,0.0771988211931738,0.0327291959481044,0.05979183658852,0.0723817715721917,0.0446139115726427,0.0760277526629188,0.0851754121911639,0.0390610118786255,0.0423576140952485,0.0631222778146834,0.075270623722908,0.0909170652268776,0.0473657054108403,0.074069343627092,0.090049737090966,0.0719425335572435,0.0324317737367418,0.0700885143696729,0.0700650966070537,0.0362808600583713,0.0701921018615582,0.09548441317708,0.0411829586643602,0.0572402325050944,0.0716852029726854,0.06903770534106,0.0848491262292685,0.0654004002017521,0.0872006802185262,0.101426692741412,0.0847012930549647,0.0359192730754718,0.0664667297448015,0.100825556567921,0.0413251643747803,0.0623750635542616,0.0814788474422926,0.0365349494643263,0.0449708550537538,0.0560941173880236,0.0586775363708676,0.0875876108537905,0.0544156300948073,0.0848759737861276,0.107184286267426,0.0615487254115205,0.0322907258382435,0.0683658481984608,0.0901685220099457,0.050176901267794,0.0653796381402869,0.0915257360649398,0.0413358690587203,0.0435579874749869,0.0661306395635637,0.079909124016425,0.0709448942925746,0.0466051286089852
"FEDm_18",0.0893335086397716,0.101111208600997,0.0613583986939542,0.0334697828597336,0.0939254731331724,0.0825556854569332,0.0407693133077277,0.0464755560180142,0.06994134006467,0.0409262795149847,0.0448640087276234,0.0796734821728367,0.0752417645233299,0.0865621620340174,0.0537920362522344,0.0748287273052778,0.104769380343176,0.0780197295973877,0.034283763519628,0.0599806558595409,0.0947220488961811,0.0367974593307402,0.0685377454340159,0.0859694089743178,0.0368591542772787,0.057222431309186,0.0606740060681499,0.0687060942574532,0.0755152604034532,0.0631141344242142,0.0737886796683088,0.0819473040404019,0.0900344676196479,0.0355056589044165,0.0787616774930548,0.0678505846096588,0.0347600852776159,0.0642245566311161,0.100080296966865,0.0370216755617255,0.0525315093225526,0.0626446775011254,0.0666632202155262,0.0983812476045053,0.0558043585834791,0.0876705053423564,0.089704935059534,0.0676148980929697,0.034537189919916,0.0575558332415934,0.107179098922981,0.0430623203664698,0.0521420414843881,0.0899988181696426,0.0398139339972657,0.0550143777765581,0.0400926131118689,0.083788214382389,0.0910485280496173,0.0607766920824499
"FEDm_19",0.0844735508010229,0.097413234629783,0.0770639186850627,0.0329806238290899,0.0733088232593512,0.0672364446045941,0.0365515971274264,0.0629272832863398,0.0904962709049644,0.0396605982684914,0.056070150009367,0.0672744152147037,0.0689187384021244,0.0916270504529853,0.0539973005246938,0.0794264949582524,0.0943265385888128,0.0889612194193904,0.037471597470481,0.0645001308249479,0.0876250857185136,0.035701331824384,0.0599925830954987,0.0867880741823033,0.0351392653238037,0.0532235532147802,0.05300065869966,0.0830134370676737,0.0907278218565518,0.0501022077549464,0.0659605412759657,0.101015738139118,0.0632254243499811,0.0360576120957145,0.0581629974640553,0.0480276449218831,0.0387884141830288,0.0811373604282637,0.120773850015903,0.0355144436479629,0.0615498719474844,0.0564666924071101,0.0844177291766838,0.0867381576347719,0.0621635223120739,0.0723231946996075,0.120425477597873,0.0486071953511059,0.0301290690457959,0.0791369990772331,0.0773364746032783,0.0327472853246801,0.0878789500790612,0.0839397822359799,0.0418402526017611,0.0534822017765915,0.0573520192720562,0.077842020429745,0.0870070003053392,0.0499520775998919
"FEDm_20",0.0665232067112849,0.109316871036872,0.0693886989381803,0.036987504021248,0.0588153189318042,0.050333901908992,0.0399864572374173,0.0774290327939149,0.121309590707028,0.0377015472754209,0.0551987492044113,0.056462057005788,0.0779818451689017,0.0829314007218391,0.0596338183368977,0.0703282180134778,0.110374472928508,0.0527009692203045,0.0314463133986319,0.0700668182953887,0.0798403480043516,0.033221787310376,0.100480534572362,0.0832818459711811,0.0401511002183061,0.0582905429078627,0.0594241761923549,0.0764542275090324,0.0841167703065775,0.0498218751512846,0.0652210989175058,0.0859200324416541,0.0516338730929783,0.0396925447301886,0.0795228168408617,0.117064250887745,0.0339923038120641,0.0604667186015516,0.0640705268970341,0.0441749264322747,0.0575212343543363,0.0596654895533232,0.0771650286252273,0.0955381656095947,0.068350989203661,0.0719215410805427,0.115900211266599,0.0685634566539226,0.0328941034091596,0.0687562576174777,0.081776831887413,0.0437787378763061,0.0621011742602634,0.0780289315136482,0.0453540757359645,0.0568119607533471,0.0531546626158731,0.0719256915777559,0.081872472755995,0.0671598909957321
