"meeting_id","meet_date","pub_date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent","T24_sent","T25_sent","T26_sent","T27_sent"
"FEDm_175","2014-10-28","2014-11-19","2014-10-01",74.531914893617,0.0222810967463316,0.0554212079677975,0.0358252211567499,0.0422529951203754,0.114558894447858,0.0265178447798463,0.0295489663518307,0.0229224467104082,0.0335348998382824,0.0205388409038883,0.0301995976360637,0.0213611912940289,0.0284023406987815,0.0215872591622228,0.020203485746587,0.0217172710968414,0.074193322126411,0.0206740631389315,0.0245988892146153,0.0379693749647303,0.0222282691265612,0.0216483378358728,0.0249743892846523,0.0345384649851006,0.131894559092587,0.0232367870037307,0.0371699835689138,-0.000971472002340589,-0.0132243578873873,-0.0104312259051623,-0.0105190133546948,0.0384026157044393,-0.000467878331962328,-0.00388310338814914,0.000188359850821166,-0.00974231937149517,-0.00401836407068445,-0.000708844620527971,-0.00286645425486675,-0.00376783090833275,-0.000754591787296074,0.000498842859811396,-0.00041396042102037,0.0231884339222555,0.0002692158304151,-0.00491574038930291,-0.00783220158539505,-0.00139165820155548,-0.00114752031510603,-0.00264201685571465,-0.00867156268726505,-0.0617899613663808,8.21945222357328e-05,-0.0133184701824469
"FEDm_176","2014-12-16","2015-01-07","2014-10-01",72.1276595744681,0.0221115195578592,0.0499840888023251,0.0295548050311098,0.0615788580994972,0.10560842563213,0.0227799127887036,0.0312222907043372,0.0230064260867418,0.0326361256619397,0.0222095176831598,0.027707769173516,0.0213631884535315,0.0269767309308626,0.0212103821333186,0.0207025959758775,0.024870786550661,0.0652169845259109,0.0201820983985183,0.0212688228913025,0.0336316677545222,0.0224337599767039,0.0224532104203538,0.0290484003065307,0.0396113439462473,0.14177359096861,0.0234025999193273,0.0374540976264023,-0.00153550104075905,-0.00969604752334369,-0.00684353378671335,-0.0107353996280864,0.0240654998242791,-0.000412934258094686,-0.000914462964665777,-0.00142430868019396,-0.00645286667606691,-0.000368606308626874,0.00138162364295729,-0.00159313120592334,-0.00315718294233313,3.26914480614507e-05,-0.000163432688969033,-0.00162159957514727,0.019096721163731,-0.000977290682559552,-0.00200097714233983,0.00660852987125032,-0.000309518996220979,-0.00161358256420363,-0.00103396833852583,-0.00870580235589854,-0.0169215000809659,0.0024455030359467,-0.0140808579422399
"FEDm_177","2015-01-27","2015-02-18","2015-01-01",82.8936170212766,0.0185631266289648,0.0641095755232607,0.0235833570609636,0.0550268780652773,0.100602125495537,0.020018420273241,0.0315917447364808,0.0206045994390969,0.0334981517573151,0.0225961602054255,0.0293978091399376,0.0203589404493192,0.0290034357226965,0.0195696473321961,0.0193078859571617,0.0246550303986959,0.0769608797902506,0.0202467112890595,0.0269325978398287,0.0387091197971874,0.0209380400728717,0.0193901712326621,0.0258551224766871,0.0371563521594645,0.146220252924096,0.0195877809498687,0.035516083282454,-0.00132429847374262,-0.0178028680386443,-0.00517913546685569,-0.0112360941304263,0.0206877705316115,-0.00107254918914486,-0.00549756772116004,-0.00154991233347875,-0.00884879870538087,-0.00438589946852894,-0.00609302272847971,-0.000912362910879925,-7.58342637148927e-06,-0.00122494766270676,-0.0012563071558795,-0.0024024292945654,0.0184453004230614,-0.00173906896422524,-0.00752194529862278,-0.0129772256624462,4.19512040251454e-05,-0.00247897391122903,-0.00272414472816305,-0.00876259600896017,-0.0375861117957771,-0.00133085477698734,-0.0116045569217789
"FEDm_178","2015-03-17","2015-04-08","2015-01-01",77.7209302325581,0.0200656664385037,0.0440497376467937,0.0259902877147061,0.0533455132122828,0.128488769870681,0.0223641427134823,0.0263960550055276,0.0212231615221952,0.0388472832452534,0.0219356492944433,0.0234175539975209,0.0210164841822189,0.0293359800332232,0.0209158124751589,0.0189284323501497,0.0240785544017271,0.0730568191225942,0.0195112830677452,0.0296017071649844,0.0348629828891847,0.0215499706589131,0.0196216611252174,0.0266664723576502,0.0351836726757312,0.138407440678342,0.0235413862400703,0.0375975199156994,0.00105152270355805,-0.000677617891424561,0.000286225469136348,-0.000354754892418429,0.0452450066039211,0.00165487000370612,0.00453187448060108,0.00195550864204253,0.00228059765803465,0.00162014286347027,0.00288817057361138,0.00112142760324923,-0.00158776759524043,0.00246495476971091,0.00108468380251463,-0.000425100636743438,0.0120591467579373,0.00208903672062801,-0.000518264813161188,0.00269693034972539,0.00326000640101946,0.00131697239892144,0.000109354774545455,-0.00365704677877656,-0.00150304652165441,3.13047388018872e-05,-0.00651951516242077
"FEDm_179","2015-04-28","2015-05-20","2015-04-01",81.4090909090909,0.019396111414618,0.0549300591661218,0.0288899738808042,0.0556258142011458,0.112230522334053,0.0227553701214318,0.0304500634460041,0.0211853519440574,0.0293023746675964,0.0191120593514369,0.0282264575819039,0.0210942024270382,0.0287324815274642,0.0189007808994454,0.0200852121227322,0.0250430144834024,0.0742575295957938,0.0193031983983013,0.0214149492906251,0.0356698309555701,0.0230397582456157,0.020017623000258,0.0273813931834295,0.0381736561455139,0.149953966583188,0.0200133801713137,0.034814864861135,-0.00190791119576111,-0.0119875952967369,-0.00763660808885587,-0.00760507828546366,0.0252282945472754,-0.00430628392475918,-0.00400449788466702,-0.0038706104135103,-0.00182736889684381,-0.00343809522927216,-0.00708780572033257,-0.00394998678081702,-0.00711268809082251,-0.00243448185085453,-0.00462847718504452,-0.0100388230059618,-0.0274106774222215,-0.00381818313186151,-0.00458594591990448,-0.000503282312562163,-0.0008040666076132,-0.00448300062140186,-0.00820422320194687,-0.0261907950123742,-0.0465569279285966,-0.00334191576435025,-0.00823433248679285
"FEDm_180","2015-06-16","2015-07-08","2015-04-01",77.2448979591837,0.0191911252724,0.0606138067744221,0.0238803353282323,0.0546244912110412,0.116431757831489,0.0221467005624276,0.0321297120420831,0.0211932555857783,0.034778359111201,0.0217501593643853,0.0300205912017241,0.0212718629857739,0.0301834876210101,0.0214126583127909,0.020690434963735,0.0206791044120052,0.0762855768383523,0.019283845066766,0.0265219807443944,0.0345274523569813,0.0214519487159042,0.0199169276695279,0.0274122818067993,0.0345579590434731,0.128799421392325,0.020794746968246,0.0394500168167313,0.00149220659232994,-0.00398404470112593,0.00373615791244181,0.00580498428584373,0.0335869447376836,0.00257850962250529,0.00348756846198047,0.00401322814198682,0.00538341140531987,0.00326530645042539,0.00373235403352041,0.0022383540650588,0.00762000804017733,0.00231417145277175,0.00396025458080063,0.00131685889918518,0.0158983274379197,0.00235525298026793,0.00229664373363346,0.00727747972545128,0.00469561368504474,0.00305248889071169,-0.00198221715484592,-0.00252899274167359,0.000151050048556098,0.0034616032739687,-0.00121398856677802
"FEDm_181","2015-07-28","2015-08-19","2015-07-01",70.5,0.0209862948960913,0.0698274272854681,0.0247068565733748,0.0557535313261554,0.103769169420239,0.023209447970939,0.0263145978952974,0.0221592020774689,0.0349418744862062,0.0200757037836803,0.0291937475069563,0.0216356079671312,0.0303961967792927,0.0214414277990218,0.0223918982765273,0.024457878529345,0.0685629679170027,0.020409985366273,0.024824229416588,0.0393337687248198,0.023160859215874,0.0208898497394439,0.0230480392871598,0.0369716732867239,0.127073236395459,0.021205461026458,0.043259067051003,4.36687815667957e-05,-0.0130180007601721,-0.000508822584907655,-0.00195914227286444,0.0209479036771786,0.00124345035125469,-0.000200142829694055,-0.000331044307496416,0.00593618938723087,-0.00108567966755549,-0.000340930923117825,-0.000923427835428298,-0.00104250261788352,0.000286368722290978,0.000541143938183767,-0.00374187000052888,0.00343506681361684,-1.23967791071138e-05,-0.00155298989427419,0.00779128851065926,0.00264700159062692,8.64691438116075e-05,0.000390785776443733,-0.00359888175373809,-0.0158863780257511,-0.0012192103039382,-0.0138267940352505
"FEDm_182","2015-09-16","2015-10-08","2015-07-01",71,0.0218891269395989,0.0623721167815207,0.0273894673679841,0.0634408281686411,0.0963548962211943,0.0212298516421013,0.0306295697853315,0.0215598069079688,0.0319899279212525,0.0194648718739942,0.0308499771507693,0.0209386616449023,0.0280111790704829,0.020854622882451,0.0186414773582968,0.0224593775252449,0.0617032532714262,0.020685566653729,0.0202979151815708,0.0382781864412083,0.0217956210310159,0.0208092084223219,0.0235757070558046,0.0414831101551652,0.148793498593475,0.0228113619891538,0.0416908119633947,-0.00216820209851937,-0.0096591054816358,-0.00499564749516117,-0.0174920110633422,0.0130894895244296,-0.000992679345854347,-0.00403255407543582,-0.00143870222200967,-0.00665767740760717,-0.00326362193966427,-0.00385131682985356,-0.00136850791215814,0.0102533973951,7.97856724769622e-05,-0.000263596308142344,-0.0035378232187896,0.00309288785440492,-0.00142258263070958,-0.00204878511076639,-0.0059330212433317,-0.00178149723406372,-0.00276420911524942,-0.0028552023156822,-0.00939648073743422,-0.0263559504377703,-0.0032576840983757,-0.00991513257023186
"FEDm_183","2015-10-27","2015-11-18","2015-10-01",69.2830188679245,0.0234384061126084,0.062806890993345,0.0258090554414923,0.0479614954266593,0.10446302024892,0.0217880782306704,0.0319492530133045,0.0214856478817149,0.0351043182140963,0.0216475037862537,0.0275113339727242,0.0206833820615482,0.0275476853779639,0.0213324962239771,0.0213134013162064,0.0211868747107696,0.073809172630012,0.0208258776586962,0.0199619590337466,0.0392658839891286,0.0216722677447642,0.0220292958198664,0.0260232938613243,0.0347485759266773,0.148329902289646,0.020472451246888,0.0368324767869966,-0.00645772865103807,-0.028896376726314,-0.0039181817036984,-0.00108717807452527,0.00240976830493753,-0.000942705350536052,-0.00934096341046301,-0.00370936393262118,-0.00647907533425139,-0.0041696854564104,-0.00445853934187629,-0.000876406879000468,-0.00250181531575418,-0.00314362890358877,-0.00387340742082824,-0.00285258012573748,-0.0017152523162891,-0.00222495915896441,-0.00305572305695412,-0.0116307043739682,-0.00260970850379904,-0.0025107233374474,-0.00641642990831044,-0.00722139848725703,-0.0220460786817602,-0.0022481840177985,-0.0136149798748936
"FEDm_184","2015-12-15","2016-01-06","2015-10-01",68.2222222222222,0.0212360812872833,0.0600881739977072,0.0293024032584357,0.0668423220708415,0.0931478544100087,0.0229524251190503,0.030442079440037,0.0218835053896172,0.0414674635757503,0.0218160450059841,0.0292691032857492,0.0210164676017827,0.0304229238067353,0.0195740326568844,0.0236145135367026,0.0225260864637014,0.0685725219705045,0.0203138598086745,0.0211550013330475,0.0337113067189831,0.0219780677996489,0.0203542291402799,0.0249551652364916,0.0352091405268424,0.132994457065872,0.0242679298848815,0.0408868396085034,-0.00257696790245924,-0.0216842718257494,-0.00555994065431367,-0.0174746205897043,-0.00103192033530233,-0.00249576947174011,-0.00218250080442361,-0.00136872852722331,-0.0106103504904145,-0.00300077847826105,-0.00204812790182736,-0.000563217260629035,0.0048158547959789,-0.00132727268367812,-0.000654029102160671,-0.00420038056550375,0.0115842110407905,-0.00120179369578498,-0.00090126108249445,-0.00516728681591518,0.00103339149724337,-0.0017391472369966,-0.00575087170144323,-0.014081888116067,-0.0293265017191492,-0.00535307544965792,-0.00706446018509534
"FEDm_185","2016-01-26","2016-02-17","2016-01-01",74.3541666666667,0.0183558054852345,0.0810666801692298,0.0243540816516081,0.0592719267296303,0.082375818347181,0.022959917578253,0.0259883320122003,0.0208075670398701,0.0376184865263499,0.0188785470785004,0.0276474224652351,0.0209135565431021,0.0295164598185886,0.0204857878102005,0.0213970083567895,0.0271712153784752,0.0826283299181181,0.0211104967008775,0.0203314563150581,0.0443745311388143,0.0206819732866428,0.0234828702023126,0.024176869973543,0.0426646712000677,0.129078388398224,0.0226744817843335,0.02998731809156,-0.00529037860050561,-0.0353340856971108,-0.013823500849512,-0.0277400858973339,-0.00568890655332884,-0.00812729388775019,-0.00729008184363747,-0.00868943327585302,-0.0239785987739923,-0.00649818762011322,-0.00851328778611488,-0.00626007274478913,-0.00148547849441268,-0.00440459733137523,-0.00699261157401086,-0.0130124201740015,-0.0105840716578695,-0.00778680412935958,-0.00693158163273046,-0.0194838323149669,-0.00509945688369993,-0.00903320443844269,-0.0124374160481435,-0.0225868221501666,-0.0583584759032105,-0.00633019265776776,-0.00992777192492095
"FEDm_186","2016-03-15","2016-04-06","2016-01-01",70.3518518518518,0.0219106575610275,0.0708131200683911,0.0252122289976038,0.0546769232339536,0.0960217653587815,0.0226533720227663,0.0284756466798343,0.0207251611554342,0.0448225640441443,0.0210444021868099,0.0284901831748968,0.0207408642767374,0.028979973381443,0.0200943035731428,0.0218730872603416,0.0211088059859081,0.069573318901356,0.0231939044388466,0.0220209101926878,0.0326502058258906,0.0206836807241742,0.0201779088790521,0.0262818478976381,0.0410808088769298,0.138010219453193,0.0211723404733806,0.0375117953756348,-0.00222191647089258,-0.0216694256366287,-0.00527658983723959,0.00286230426647341,0.011241213561151,-0.00185837198335654,-0.00256232945076716,-0.00398497431150431,-0.00418351018398737,-0.00100747453456646,-0.00130499755160459,-0.00104208474927176,0.00439697855149563,-0.000811681837725881,-4.78004694229177e-05,-0.000516752369398952,0.00444366415924333,-0.00412521649885738,-0.00393398497426877,-0.000362384219038217,0.000705418648747437,-0.00175674293659598,-0.00690060141899485,-0.0191071340698605,-0.021858539795234,-0.00175677408325213,-0.0126324873559817
"FEDm_187","2016-04-26","2016-05-18","2016-04-01",81.1090909090909,0.0190860824697048,0.0740086693016403,0.0274653407202468,0.0552938371802414,0.101075039532048,0.020845743905204,0.0253273116601936,0.0202493301616592,0.0370258542122953,0.023699429895125,0.0296448888511659,0.0200386020011692,0.0284420280000531,0.0201005617581834,0.0207890043362059,0.0214419169183099,0.0828182204035917,0.0200146927235698,0.0208003813542367,0.042349505259248,0.0214087094773213,0.0195848799233408,0.0245355555839425,0.0349003191530897,0.135274673822162,0.0189340255468513,0.0348453958492003,-0.00302851281405477,-0.0337156511847122,-0.0037025649499198,-0.00505782460458594,-0.0153161177954454,-0.00313974798314315,-0.00747510334146586,-0.00292892892178137,-0.00720707174111088,-0.00368368890455538,-0.002506050197153,-0.00422148058360054,-0.00054340086133563,-0.00327479160125529,-0.00413302126792302,-0.00255844611793116,0.00327031335010809,-0.00456014035287275,-0.00555832975306459,-0.00200939640798557,-0.00260892229230264,-0.00250169312037245,-0.00518768923532827,-0.00442153819451836,-0.0130405949312248,-0.00242786027000726,-0.0108018952337173
"FEDm_188","2016-06-14","2016-07-06","2016-04-01",73.2,0.0189299769683137,0.0579131653670793,0.0273553020827638,0.052599721240303,0.0969478925346341,0.0233439495730046,0.0288606028300277,0.0230194962308034,0.0376741901608774,0.0193779604560946,0.0324503635024345,0.0217053097179368,0.0255593849689884,0.0229497920038663,0.0205999608091848,0.0231314426451814,0.0760876643296086,0.0204609261911586,0.0250794414638537,0.0354671654519143,0.0205797445847809,0.0215813992939707,0.0264136057129992,0.0362164168032025,0.13675265235013,0.0222495575719179,0.0466929151549698,-0.00305024794341787,-0.0128929332696497,-0.00615897985416687,-0.00868099115937252,0.0152804592537769,-0.00432428267389064,-0.00513832648912892,-0.00439243774454286,-0.00695241257289176,-0.00296565069004845,-0.00512564222943572,-0.00302801268229675,-0.00202111171912133,-0.00338595622307534,-0.00343511347170204,-0.00485469514332659,-0.00624805782172646,-0.00408301417452968,-0.00451652179203538,-0.00522465084260438,-0.00142039660873464,-0.00443714313719708,-0.00562030154219706,-0.00922333218947269,-0.0252537307277922,-0.000465857278706919,-0.0205177344031284
"FEDm_189","2016-07-26","2016-08-17","2016-07-01",79.1186440677966,0.0193748707116969,0.0666789511809099,0.0284334326866,0.051085727359768,0.0883069458285098,0.0203171334435809,0.0283783261081145,0.0219915465598498,0.046291741431839,0.0203167072934474,0.0299850994730196,0.0209695846616011,0.0276016210622067,0.0233081206003157,0.022219506528354,0.0225282571311339,0.0728365636103596,0.0196370353402024,0.0233928410560376,0.0439218282583742,0.0213352465006239,0.0193159218833321,0.0251108667924422,0.0364110297726847,0.143014757800726,0.0191213598011197,0.0381149771231507,-0.00335081271506874,-0.0226553225016777,-0.00885547862806451,-0.00793368439994812,-0.000176603402182225,-0.00542051984581893,-0.00481436648261913,-0.00359996925604795,-0.0126453492800216,-0.00355618355219259,-0.00519907796731056,-0.00543196226752978,0.00205761614233887,-0.00470644388837017,-0.00170339406863771,-0.00627434770191447,-0.00116247340443359,-0.00445781754422146,-0.00583049431083144,-0.0134297487102721,-0.002248733585697,-0.00458050644033478,-0.00564472830108595,-0.00800545133196663,-0.0196930604968826,-0.0031996455036994,-0.019270522248491
